trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,1,"[""6"", ""6"", ""4"", ""4"", ""0"", ""9"", ""6"", ""8"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 3]","[0.3, 0.34, 0.29, 0.31, 0.33, 0.32, 0.28, 0.3, 0.29]",9,13.56,False,False
2,True,0,2,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[6],interrupted,2,"[""9"", ""8"", ""4"", ""8"", ""0"", ""8"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.35, 0.3, 0.31, 0.32, 0.33, 0.35, 0.32]",7,10.68,False,False
3,True,0,3,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,1,"[""0"", ""0"", ""6"", ""3""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.28, 0.35, 0.33, 0.38]",4,6.14,False,False
4,True,0,4,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""6"", ""8"", ""0"", ""8"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.26, 0.26, 0.26, 0.26, 0.27]",5,7.31,False,False
5,True,0,5,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[2],interrupted,1,"[""6"", ""0"", ""0"", ""9"", ""7"", ""7"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.35, 0.38, 0.3, 0.35, 0.36, 0.35, 0.33]",7,10.82,False,False
6,True,0,6,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[3],interrupted,2,"[""1"", ""4"", ""1"", ""0"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.4, 0.33, 0.39, 0.39, 0.36]",5,7.87,False,False
7,True,0,7,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[7],interrupted,1,"[""1"", ""1"", ""0"", ""8"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.26, 0.28, 0.25, 0.26, 0.26]",5,7.31,False,False
8,True,0,8,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[],sequential,2,"[""5"", ""2"", ""8"", ""8"", ""3"", ""7"", ""3"", ""4"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[6, 8]","[0.34, 0.38, 0.3, 0.36, 0.34, 0.34, 0.33, 0.37, 0.31]",9,13.87,False,False
1,False,1,1,EVERYONE,"[""E"", ""V"", ""E"", ""R"", ""Y"", ""O"", ""N"", ""E""]",[],sequential,1,"[""7"", ""7"", ""1"", ""2"", ""4"", ""7"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 6]","[0.35, 0.38, 0.36, 0.34, 0.37, 0.37, 0.29]",7,10.86,False,False
2,False,1,2,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,2,"[""0"", ""2"", ""7"", ""2"", ""5"", ""4"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.3, 0.3, 0.35, 0.33, 0.36, 0.35, 0.29]",7,10.68,False,False
