trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[2],interrupted,1,"[""7"", ""6"", ""8"", ""2"", ""6"", ""2"", ""2"", ""7"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[6, 8]","[0.28, 0.39, 0.32, 0.34, 0.31, 0.36, 0.35, 0.29, 0.34]",9,13.78,False,False
2,True,0,2,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[4],interrupted,2,"[""9"", ""4"", ""3"", ""9"", ""0"", ""9"", ""1"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.3, 0.27, 0.29, 0.31, 0.3, 0.31, 0.27, 0.27]",8,11.92,False,False
3,True,0,3,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,1,"[""2"", ""2"", ""1"", ""9""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.37, 0.34, 0.39, 0.35]",4,6.25,False,False
4,True,0,4,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""6"", ""0"", ""3"", ""0"", ""6"", ""0"", ""4"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.35, 0.33, 0.4, 0.34, 0.35, 0.35, 0.32, 0.33]",8,12.37,False,False
5,True,0,5,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""3"", ""6"", ""3"", ""2"", ""1"", ""9"", ""1"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.39, 0.4]",8,12.79,False,False
6,True,0,6,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[3],interrupted,1,"[""4"", ""4"", ""8"", ""5"", ""0"", ""4"", ""9"", ""9"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 7]","[0.28, 0.33, 0.37, 0.33, 0.31, 0.33, 0.32, 0.29, 0.28]",9,13.64,False,False
7,True,0,7,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[2],interrupted,1,"[""8"", ""8"", ""0"", ""4"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.25, 0.26, 0.25, 0.25, 0.25, 0.25]",6,8.71,False,False
8,True,0,8,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,2,"[""0"", ""4"", ""2"", ""4"", ""4"", ""7"", ""2"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.33, 0.32, 0.32, 0.27, 0.29, 0.37, 0.3, 0.35]",8,12.15,False,False
1,False,1,1,ALWAYS,"[""A"", ""L"", ""W"", ""A"", ""Y"", ""S""]",[3],interrupted,1,"[""2"", ""4"", ""6"", ""6"", ""9"", ""0"", ""9"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.31, 0.37, 0.31, 0.34, 0.36, 0.35, 0.33, 0.36]",8,12.33,False,False
2,False,1,2,CHILDREN,"[""C"", ""H"", ""I"", ""L"", ""D"", ""R"", ""E"", ""N""]",[6],interrupted,2,"[""0"", ""7"", ""7"", ""6"", ""7"", ""4"", ""7"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.4, 0.39, 0.4, 0.4, 0.4, 0.38, 0.4, 0.4]",8,12.77,False,False
