GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_10,1,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,4.032,83.1340206185567,0.10449142345494714
2,sim_10,2,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10449142345494714
3,sim_10,3,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10449142345494714
4,sim_10,4,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10449142345494714
5,sim_10,5,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.10449142345494714
6,sim_10,6,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10449142345494714
7,sim_10,7,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.072,63.34020618556701,0.10449142345494714
8,sim_10,8,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.2640000000000002,67.29896907216497,0.10449142345494714
9,sim_10,9,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.2640000000000002,68.0,0.10449142345494714
10,sim_10,10,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10449142345494714
11,sim_10,11,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10449142345494714
12,sim_10,12,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.84,80.0,0.10449142345494714
13,sim_10,13,2back,2,4,1,0.75,0.0,0,1,0,3,4.85,4.6080000000000005,95.01030927835053,0.10449142345494714
14,sim_10,14,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10449142345494714
15,sim_10,15,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10449142345494714
16,sim_10,16,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.2640000000000002,67.29896907216497,0.10449142345494714
17,sim_10,17,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10449142345494714
18,sim_10,18,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.6480000000000006,75.21649484536084,0.10449142345494714
19,sim_10,19,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10449142345494714
20,sim_10,20,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.10449142345494714
