trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,1,"[""4"", ""6"", ""7"", ""7"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.4, 0.4, 0.4, 0.37, 0.4]",5,7.97,False,False
2,True,0,2,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,2,"[""7"", ""8"", ""5"", ""2"", ""3"", ""2"", ""1"", ""7"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 8]","[0.3, 0.36, 0.3, 0.34, 0.31, 0.33, 0.37, 0.34, 0.29]",9,13.74,False,False
3,True,0,3,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[6],interrupted,1,"[""1"", ""2"", ""2"", ""5"", ""1"", ""1"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.32, 0.31, 0.28, 0.3, 0.35, 0.31, 0.31]",7,10.58,False,False
4,True,0,4,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,1,"[""6"", ""7"", ""3"", ""3"", ""1"", ""7"", ""3"", ""3"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.28, 0.26, 0.27, 0.31, 0.29, 0.26, 0.28, 0.27, 0.25]",9,13.27,False,False
5,True,0,5,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""1"", ""4"", ""4"", ""9"", ""9"", ""1"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.33, 0.39, 0.35, 0.35, 0.35, 0.4, 0.25]",7,10.82,False,False
6,True,0,6,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[4],interrupted,2,"[""0"", ""8"", ""0"", ""3"", ""5"", ""7"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.36, 0.29, 0.31, 0.3, 0.33, 0.3, 0.36]",7,10.65,False,False
7,True,0,7,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[3],interrupted,2,"[""6"", ""2"", ""6"", ""9"", ""6"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.4, 0.4, 0.4, 0.4, 0.4, 0.38, 0.4]",7,11.18,False,False
8,True,0,8,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[3],interrupted,2,"[""3"", ""5"", ""7"", ""5"", ""6"", ""1"", ""5"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.39, 0.38, 0.37, 0.36, 0.4, 0.32, 0.33, 0.37]",8,12.52,False,False
1,False,1,1,ALWAYS,"[""A"", ""L"", ""W"", ""A"", ""Y"", ""S""]",[],sequential,2,"[""9"", ""0"", ""5"", ""4"", ""5"", ""2"", ""5"", ""0"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.37, 0.39, 0.31, 0.36, 0.35, 0.37, 0.37, 0.36, 0.32]",9,14.0,False,False
2,False,1,2,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[3],interrupted,1,"[""8"", ""8"", ""0"", ""4"", ""8"", ""9"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 6]","[0.28, 0.3, 0.27, 0.26, 0.31, 0.28, 0.28]",7,10.38,False,False
