GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[2],interrupted,2,"[""9"", ""7"", ""5"", ""7"", ""8"", ""7"", ""5"", ""6"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.34, 0.35, 0.29, 0.29, 0.37, 0.36, 0.34, 0.34, 0.34]",9,13.82,False,False,practice,1,BECAUSE,7,interrupted,[2],2.142602399922908,BECAUSE,True,11.648102200124413,2.0,0.0,0.0,7.0,1.0,27,27.10944649996236,27.0,1.0,,,0.0,0,1.6640146000177733,0
2,2,True,0,2,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""4"", ""1"", ""6"", ""8"", ""8"", ""9"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.4, 0.37, 0.37, 0.35, 0.4, 0.38, 0.38, 0.31]",8,12.56,False,False,practice,1,ANYTHING,8,sequential,[],,ANYTHING,True,8.475562900071964,2.0,0.0,0.0,6.0,1.0,20,22.66083599999547,23.0,0.8695652173913043,,,0.13043478260869565,-1,1.0594453625089955,0
3,3,True,0,3,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[8],interrupted,2,"[""2"", ""1"", ""2"", ""7"", ""0"", ""1"", ""3"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.36, 0.4, 0.39, 0.4, 0.36, 0.36, 0.36, 0.36]",8,12.59,False,False,practice,1,SOMETHING,9,interrupted,[8],5.0820756000466645,SOMETHINT,False,14.674743399955332,2.0,0.0,0.0,6.0,1.0,31,28.89277009991929,29.0,1.0689655172413792,,,0.06896551724137931,1,1.6305270444394813,1
4,4,True,0,4,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,2,"[""1"", ""5"", ""2"", ""4"", ""0"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[5],"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",6,8.7,False,False,practice,1,SHOULD,6,sequential,[],,SHOULD,True,8.853681799955666,1.0,0.0,0.0,5.0,1.0,21,19.177369700046256,19.0,1.105263157894737,,,0.10526315789473684,1,1.4756136333259444,0
5,5,True,0,5,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,1,"[""0"", ""0"", ""1"", ""9"", ""3"", ""3"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.25, 0.25, 0.25, 0.25, 0.26, 0.25, 0.25]",7,10.16,False,False,practice,1,THROUGH,7,sequential,[],,THROUGH,True,11.58077419991605,2.0,0.0,0.0,5.0,1.0,19,23.36277630017139,23.0,0.8260869565217391,,,0.17391304347826086,-1,1.6543963142737215,0
6,6,True,0,6,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[2],interrupted,2,"[""0"", ""7"", ""0"", ""2"", ""0"", ""5"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.38, 0.4, 0.35, 0.31, 0.35, 0.35, 0.39]",7,10.93,False,False,practice,1,NATIONAL,8,interrupted,[2],2.961758999852464,NATIONAL,True,12.421970599796625,2.0,0.0,0.0,5.0,1.0,30,24.967597600072622,25.0,1.2,,,0.2,1,1.552746324974578,0
7,7,True,0,7,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[6],interrupted,1,"[""5"", ""1"", ""1"", ""0"", ""1"", ""8"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.38, 0.34, 0.38, 0.36, 0.35, 0.39, 0.36, 0.37]",8,12.53,False,False,practice,1,INCLUDING,9,interrupted,[6],2.1445679999887943,INCLUDING,True,12.52321910019964,2.0,0.0,0.0,6.0,1.0,24,26.675521800061688,27.0,0.8888888888888888,,,0.1111111111111111,-1,1.391468788911071,0
8,8,True,0,8,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""6"", ""0"", ""3"", ""2"", ""2"", ""8"", ""6"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.3, 0.34, 0.35, 0.29, 0.3, 0.4, 0.31, 0.34]",8,12.23,False,False,practice,1,PEOPLE,6,sequential,[],,PEOPLE,True,6.611251099966466,2.0,0.0,0.0,6.0,1.0,22,20.463112300029024,20.0,1.1,,,0.1,1,1.1018751833277445,0
9,1,False,1,1,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[2],interrupted,1,"[""6"", ""5"", ""1"", ""1"", ""2"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.3, 0.31, 0.29, 0.29, 0.32, 0.3]",6,9.01,False,False,main,1,ANYTHING,8,interrupted,[2],2.7064474998041987,ANYTHING,True,13.35724880010821,2.0,0.0,0.0,4.0,1.0,26,23.95821549999528,24.0,1.0833333333333333,,,0.08333333333333333,1,1.6696561000135262,0
10,2,False,1,2,BEAUTIFUL,"[""B"", ""E"", ""A"", ""U"", ""T"", ""I"", ""F"", ""U"", ""L""]",[],sequential,2,"[""4"", ""4"", ""4"", ""6"", ""1"", ""9"", ""4"", ""9"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.33, 0.4, 0.31, 0.35, 0.34, 0.36, 0.31, 0.31, 0.4]",9,13.91,False,False,main,1,BEAUTIFUL,9,sequential,[],,BEAUTIFUL,True,9.162678999826312,2.0,0.0,0.0,7.0,1.0,23,24.70221549994312,25.0,0.92,,,0.08,-1,1.0180754444251459,0
