GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
38,30,False,4,6,POLITICAL,"[""P"", ""O"", ""L"", ""I"", ""T"", ""I"", ""C"", ""A"", ""L""]",[],sequential,1,"[""2"", ""8"", ""4"", ""3"", ""3"", ""7"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.31, 0.29, 0.31, 0.29, 0.29, 0.36, 0.33, 0.27]",8,12.05,False,False,main,4,POLITICAL,9,sequential,[],,POLITICAL,True,7.12337504199968,2.0,0.0,0.0,6.0,1.0,19,20.97731408300024,21.0,0.9047619047619048,,,0.09523809523809523,-1,0.7914861157777423,0
39,31,False,4,7,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,1,"[""6"", ""5"", ""5"", ""2"", ""6"", ""0"", ""0"", ""5"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.33, 0.3, 0.29, 0.28, 0.3, 0.31, 0.31, 0.32, 0.29]",9,13.53,False,False,main,4,NATIONAL,8,sequential,[],,NATIONAL,True,7.352043875000163,2.0,0.0,0.0,7.0,1.0,19,22.73887312500028,23.0,0.8260869565217391,,,0.17391304347826086,-1,0.9190054843750204,0
40,32,False,4,8,PROBABLY,"[""P"", ""R"", ""O"", ""B"", ""A"", ""B"", ""L"", ""Y""]",[],sequential,2,"[""8"", ""4"", ""2"", ""9"", ""0"", ""9"", ""4"", ""1"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 8]","[0.3, 0.35, 0.3, 0.3, 0.3, 0.27, 0.33, 0.32, 0.34]",9,13.61,True,False,main,4,PROBABLY,8,sequential,[],,PROBABLY,True,7.429444958999738,2.0,0.0,0.0,7.0,1.0,19,22.866395916999863,23.0,0.8260869565217391,,,0.17391304347826086,-1,0.9286806198749672,0
41,33,False,5,1,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[5],interrupted,1,"[""2"", ""9"", ""9"", ""2"", ""2"", ""1"", ""2"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.33, 0.38, 0.3, 0.33, 0.29, 0.31, 0.34, 0.31]",8,12.19,False,False,main,5,BECAUSE,7,interrupted,[5],1.5941098749999585,BECAUSE,True,7.772803417000432,2.0,0.0,1.0,5.0,0.875,20,21.72462425000049,22.0,0.9090909090909091,,,0.09090909090909091,-1,1.1104004881429188,0
42,34,False,5,2,FAMILY,"[""F"", ""A"", ""M"", ""I"", ""L"", ""Y""]",[],sequential,1,"[""5"", ""1"", ""1"", ""8"", ""8"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.25, 0.25, 0.26, 0.26, 0.25, 0.26]",6,8.73,False,False,main,5,FAMILY,6,sequential,[],,FAMILY,True,5.967793666999569,2.0,0.0,0.0,4.0,1.0,18,16.440684166999745,16.0,1.125,,,0.125,1,0.9946322778332615,0
43,35,False,5,3,RESEARCH,"[""R"", ""E"", ""S"", ""E"", ""A"", ""R"", ""C"", ""H""]",[],sequential,2,"[""1"", ""8"", ""3"", ""8"", ""6"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.38, 0.37, 0.35, 0.38, 0.4, 0.36]",6,9.44,False,False,main,5,RESEARCH,8,sequential,[],,RESEARCH,True,7.533391250000022,1.0,0.0,0.0,5.0,1.0,19,18.685311125000226,19.0,1.0,,,0.0,0,0.9416739062500028,0
44,36,False,5,4,WITHOUT,"[""W"", ""I"", ""T"", ""H"", ""O"", ""U"", ""T""]",[],sequential,1,"[""8"", ""7"", ""5"", ""5"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.31, 0.29, 0.34, 0.31, 0.36, 0.34]",6,9.15,False,False,main,5,WITHOUT,7,sequential,[],,WITHOUT,True,7.144668334000016,2.0,0.0,0.0,4.0,1.0,19,17.989315791999616,18.0,1.0555555555555556,,,0.05555555555555555,1,1.0206669048571453,0
45,37,False,5,5,ALREADY,"[""A"", ""L"", ""R"", ""E"", ""A"", ""D"", ""Y""]",[5],interrupted,1,"[""8"", ""8"", ""3"", ""7"", ""8"", ""3"", ""4"", ""4"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 7]","[0.36, 0.32, 0.32, 0.29, 0.36, 0.35, 0.31, 0.31, 0.3]",9,13.72,False,False,main,5,ALREADY,7,interrupted,[5],0.9648132920001444,ALREADY,True,7.140357000000222,2.0,0.0,0.0,7.0,1.0,20,22.64564433299984,23.0,0.8695652173913043,,,0.13043478260869565,-1,1.0200510000000318,0
46,38,False,5,6,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[4],interrupted,2,"[""4"", ""0"", ""8"", ""0"", ""7"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.25, 0.26, 0.27, 0.25, 0.25, 0.28]",6,8.76,False,False,main,5,ANYTHING,8,interrupted,[4],1.1643787920002069,ANYTHING,True,7.731447250999736,0.0,1.0,1.0,4.0,0.6666666666666666,22,18.182868875000167,18.0,1.2222222222222223,,,0.2222222222222222,1,0.966430906374967,0
47,39,False,5,7,PLEASE,"[""P"", ""L"", ""E"", ""A"", ""S"", ""E""]",[5],interrupted,1,"[""1"", ""4"", ""2"", ""5"", ""5"", ""9"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.34, 0.36, 0.31, 0.36, 0.39, 0.34, 0.4]",7,10.9,False,False,main,5,PLEASE,6,interrupted,[5],0.915671624999959,PLEASE,True,6.527839000000313,2.0,0.0,0.0,5.0,1.0,17,19.157135416999157,19.0,0.8947368421052632,,,0.10526315789473684,-1,1.0879731666667187,0
48,40,False,5,8,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,2,"[""9"", ""2"", ""9"", ""1"", ""3"", ""4"", ""3"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.38, 0.4, 0.37, 0.4, 0.39, 0.4, 0.4, 0.4]",8,12.74,False,False,main,5,INCLUDING,9,sequential,[],,INCLUDING,True,7.68357775000004,2.0,0.0,0.0,6.0,1.0,22,22.207649166999545,22.0,1.0,,,0.0,0,0.8537308611111156,0
