GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,1,"[""6"", ""6"", ""4"", ""4"", ""0"", ""9"", ""6"", ""8"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 3]","[0.3, 0.34, 0.29, 0.31, 0.33, 0.32, 0.28, 0.3, 0.29]",9,13.56,False,False,practice,1,INCLUDING,9,sequential,[],,INCLUDING,True,11.27208840000094,2.0,0.0,0.0,7.0,1.0,14,26.72231909999391,27.0,0.5185185185185185,,,0.48148148148148145,-1,1.252454266666771,0
2,2,True,0,2,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[6],interrupted,2,"[""9"", ""8"", ""4"", ""8"", ""0"", ""8"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.35, 0.3, 0.31, 0.32, 0.33, 0.35, 0.32]",7,10.68,False,False,practice,1,SOMETHING,9,interrupted,[6],5.7453249000245705,SONETHING,False,17.389030100021046,1.0,1.0,0.0,5.0,0.8571428571428571,27,29.906660100008597,30.0,0.9,,,0.1,-1,1.932114455557894,1
3,3,True,0,3,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,1,"[""0"", ""0"", ""6"", ""3""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.28, 0.35, 0.33, 0.38]",4,6.14,False,False,practice,1,SHOULD,6,sequential,[],,SHOULD,True,9.094315700000152,1.0,0.0,0.0,3.0,1.0,17,16.903732400009176,17.0,1.0,,,0.0,0,1.5157192833333586,0
4,4,True,0,4,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""6"", ""8"", ""0"", ""8"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.26, 0.26, 0.26, 0.26, 0.27]",5,7.31,False,False,practice,1,ANYTHING,8,sequential,[],,ANYTHING,True,8.799754400009988,1.0,0.0,0.0,4.0,1.0,20,17.811875399987912,18.0,1.1111111111111112,,,0.1111111111111111,1,1.0999693000012485,0
5,5,True,0,5,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[2],interrupted,1,"[""6"", ""0"", ""0"", ""9"", ""7"", ""7"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.35, 0.38, 0.3, 0.35, 0.36, 0.35, 0.33]",7,10.82,False,False,practice,1,THROUGH,7,interrupted,[2],5.121947399980854,THROUGH,True,17.82048229998327,2.0,0.0,0.0,5.0,1.0,29,30.424520799977472,30.0,0.9666666666666667,,,0.03333333333333333,-1,2.5457831857118953,0
6,6,True,0,6,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[3],interrupted,2,"[""1"", ""4"", ""1"", ""0"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.4, 0.33, 0.39, 0.39, 0.36]",5,7.87,False,False,practice,1,PEOPLE,6,interrupted,[3],3.72084399999585,PEOOPL,False,11.89223050000146,0.0,1.0,0.0,4.0,0.8,24,21.475620999990497,21.0,1.1428571428571428,,,0.14285714285714285,1,1.98203841666691,2
7,7,True,0,7,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[7],interrupted,1,"[""1"", ""1"", ""0"", ""8"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.26, 0.28, 0.25, 0.26, 0.26]",5,7.31,False,False,practice,1,NATIONAL,8,interrupted,[7],2.246887799992692,NATIONAL,True,11.04846419999376,1.0,0.0,0.0,4.0,1.0,25,20.06891909998376,20.0,1.25,,,0.25,1,1.38105802499922,0
8,8,True,0,8,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[],sequential,2,"[""5"", ""2"", ""8"", ""8"", ""3"", ""7"", ""3"", ""4"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[6, 8]","[0.34, 0.38, 0.3, 0.36, 0.34, 0.34, 0.33, 0.37, 0.31]",9,13.87,False,False,practice,1,BECAUSE,7,sequential,[],,BECAUSE,True,8.346361700008856,2.0,0.0,0.0,7.0,1.0,25,24.114635200006887,24.0,1.0416666666666667,,,0.041666666666666664,1,1.1923373857155508,0
9,1,False,1,1,EVERYONE,"[""E"", ""V"", ""E"", ""R"", ""Y"", ""O"", ""N"", ""E""]",[],sequential,1,"[""7"", ""7"", ""1"", ""2"", ""4"", ""7"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 6]","[0.35, 0.38, 0.36, 0.34, 0.37, 0.37, 0.29]",7,10.86,False,False,main,1,EVERYONE,8,sequential,[],,EVEREVYO,False,11.37476139998762,2.0,0.0,0.0,5.0,1.0,25,24.00743689999217,24.0,1.0416666666666667,,,0.041666666666666664,1,1.4218451749984524,4
10,2,False,1,2,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,2,"[""0"", ""2"", ""7"", ""2"", ""5"", ""4"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.3, 0.3, 0.35, 0.33, 0.36, 0.35, 0.29]",7,10.68,False,False,main,1,PEOPLE,6,sequential,[],,PEOPLE,True,6.785448199982056,2.0,0.0,0.0,5.0,1.0,17,19.317455399985192,19.0,0.8947368421052632,,,0.10526315789473684,-1,1.1309080333303427,0
