GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[5],interrupted,2,"[""1"", ""3"", ""6"", ""7"", ""6"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.26, 0.26, 0.25, 0.25, 0.25, 0.25]",6,8.72,False,False,practice,1,BECAUSE,7,interrupted,[5],4.503883700002916,BECAUCA,False,14.021447100036312,1.0,0.0,0.0,5.0,1.0,26,24.52465889998712,25.0,1.04,,,0.04,1,2.003063871433759,2
2,2,True,0,2,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[5],interrupted,2,"[""9"", ""3"", ""9"", ""7"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.3, 0.34, 0.32, 0.37, 0.37, 0.35]",6,9.25,False,False,practice,1,SHOULD,6,interrupted,[5],1.8233170000021344,SHOULD,True,10.558640000002924,1.0,0.0,0.0,5.0,1.0,24,21.580083700013347,22.0,1.0909090909090908,,,0.09090909090909091,1,1.7597733333338208,0
3,3,True,0,3,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,1,"[""5"", ""5"", ""9"", ""7"", ""6"", ""6"", ""5"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.26, 0.25, 0.26]",8,11.62,False,False,practice,1,THROUGH,7,sequential,[],,THROUGH,True,12.226243699959014,2.0,0.0,0.0,6.0,1.0,24,25.702117000008,26.0,0.9230769230769231,,,0.07692307692307693,-1,1.7466062428512876,0
4,4,True,0,4,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""3"", ""6"", ""4"", ""5"", ""4"", ""4"", ""8"", ""4"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.36, 0.4, 0.37, 0.33, 0.35, 0.34, 0.38, 0.29, 0.33]",9,13.95,False,False,practice,1,ANYTHING,8,sequential,[],,ANYTHING,True,10.19758829998318,2.0,0.0,1.0,6.0,0.8888888888888888,24,26.00811450002948,26.0,0.9230769230769231,,,0.07692307692307693,-1,1.2746985374978974,0
5,5,True,0,5,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[2],interrupted,1,"[""4"", ""9"", ""9"", ""6"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.31, 0.32, 0.29, 0.33, 0.36]",5,7.61,False,False,practice,1,PEOPLE,6,interrupted,[2],1.3397944000316784,PEOPLE,True,9.13604720000876,1.0,0.0,0.0,4.0,1.0,23,18.440490300010424,18.0,1.2777777777777777,,,0.2777777777777778,1,1.5226745333347933,0
6,6,True,0,6,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,2,"[""7"", ""7"", ""7"", ""9"", ""2"", ""7"", ""5"", ""7"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.34, 0.35, 0.32, 0.29, 0.31, 0.37, 0.29, 0.35, 0.34]",9,13.76,False,False,practice,1,NATIONAL,8,sequential,[],,NATIONAL,True,10.10132319998229,2.0,0.0,0.0,7.0,1.0,22,25.744278000027407,26.0,0.8461538461538461,,,0.15384615384615385,-1,1.2626653999977862,0
7,7,True,0,7,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""2"", ""4"", ""6"", ""6"", ""5"", ""7"", ""6"", ""8"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 8]","[0.26, 0.26, 0.3, 0.26, 0.29, 0.32, 0.29, 0.29, 0.3]",9,13.37,False,False,practice,1,SOMETHING,9,sequential,[],,SOMETHING,True,11.264765700034332,2.0,0.0,0.0,7.0,1.0,28,26.542343299952336,27.0,1.037037037037037,,,0.037037037037037035,1,1.251640633337148,0
8,8,True,0,8,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[6],interrupted,1,"[""5"", ""5"", ""1"", ""2"", ""9"", ""5"", ""5"", ""3"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 6]","[0.3, 0.27, 0.28, 0.32, 0.32, 0.33, 0.32, 0.33, 0.36]",9,13.63,False,False,practice,1,INCLUDING,9,interrupted,[6],1.3042003000155091,INCLUDING,True,12.078732300025877,2.0,0.0,0.0,7.0,1.0,24,27.567671700031497,28.0,0.8571428571428571,,,0.14285714285714285,-1,1.342081366669542,0
9,1,False,1,1,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,2,"[""3"", ""9"", ""8"", ""8"", ""4"", ""9"", ""4"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[6, 8]","[0.29, 0.28, 0.25, 0.27, 0.27, 0.29, 0.28, 0.26, 0.28]",9,13.27,False,False,main,1,NATIONAL,8,sequential,[],,NATIONAL,True,9.43425059999572,2.0,0.0,0.0,7.0,1.0,24,24.59218089998467,25.0,0.96,,,0.04,-1,1.179281324999465,0
10,2,False,1,2,TOGETHER,"[""T"", ""O"", ""G"", ""E"", ""T"", ""H"", ""E"", ""R""]",[7],interrupted,2,"[""2"", ""7"", ""2"", ""0"", ""3"", ""8"", ""9"", ""5"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 8]","[0.25, 0.29, 0.27, 0.26, 0.25, 0.28, 0.26, 0.27, 0.26]",9,13.19,False,False,main,1,TOGETHER,8,interrupted,[7],2.9381278000073507,TOGETHER,True,13.4425968999858,2.0,0.0,0.0,7.0,1.0,28,28.53248389996588,29.0,0.9655172413793104,,,0.034482758620689655,-1,1.680324612498225,0
