GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,1,"[""7"", ""7"", ""1"", ""8"", ""8"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 4]","[0.29, 0.3, 0.28, 0.32, 0.29, 0.31]",6,8.99,False,False,practice,1,THROUGH,7,sequential,[],,THROUGH,True,12.33461749998969,2.0,0.0,0.0,4.0,1.0,24,23.03176600000006,23.0,1.0434782608695652,,,0.043478260869565216,1,1.7620882142842416,0
2,2,True,0,2,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[],sequential,2,"[""8"", ""9"", ""2"", ""2"", ""2"", ""7"", ""8"", ""4"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 8]","[0.29, 0.34, 0.35, 0.35, 0.35, 0.31, 0.36, 0.32, 0.29]",9,13.76,False,False,practice,1,BECAUSE,7,sequential,[],,BECAUSE,True,7.674934400012717,1.0,1.0,1.0,6.0,0.7777777777777778,21,23.23805739999807,23.0,0.9130434782608695,,,0.08695652173913043,-1,1.0964192000018167,0
3,3,True,0,3,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""9"", ""8"", ""1"", ""8""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.34, 0.36, 0.33, 0.39]",4,6.22,False,False,practice,1,SOMETHING,9,sequential,[],,SOMETHING,True,9.177983699992184,1.0,0.0,0.0,3.0,1.0,17,17.094026100006886,17.0,1.0,,,0.0,0,1.0197759666657982,0
4,4,True,0,4,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[4],interrupted,2,"[""1"", ""1"", ""1"", ""6"", ""5"", ""6"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.31, 0.31, 0.35, 0.33, 0.31, 0.32, 0.31]",7,10.64,False,False,practice,1,NATIONAL,8,interrupted,[4],4.34727820000262,NATINALL,False,14.686545299991849,2.0,0.0,0.0,5.0,1.0,28,27.01561900001252,27.0,1.037037037037037,,,0.037037037037037035,1,1.835818162498981,2
5,5,True,0,5,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[7],interrupted,2,"[""1"", ""6"", ""5"", ""6"", ""3"", ""6"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.27, 0.26, 0.25, 0.25, 0.26, 0.26, 0.26]",7,10.21,False,False,practice,1,INCLUDING,9,interrupted,[7],1.9577016999974148,INCLUDIGN,False,13.84401469999284,1.0,1.0,0.0,5.0,0.8571428571428571,19,25.78032869999879,26.0,0.7307692307692307,,,0.2692307692307692,-1,1.53822385555476,2
6,6,True,0,6,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[4],interrupted,1,"[""5"", ""8"", ""2"", ""2""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.29, 0.37, 0.38, 0.34]",4,6.18,False,False,practice,1,PEOPLE,6,interrupted,[4],1.886794899997767,PEOPLE,True,8.47931690000405,1.0,0.0,0.0,3.0,1.0,24,16.31551810000383,16.0,1.5,,,0.5,1,1.4132194833340084,0
7,7,True,0,7,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,1,"[""0"", ""7"", ""9"", ""9"", ""6"", ""6"", ""0"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.4, 0.33, 0.37, 0.32, 0.4, 0.38, 0.4, 0.39]",8,12.59,False,False,practice,1,SHOULD,6,sequential,[],,SHOULD,True,7.616177599993534,2.0,0.0,0.0,6.0,1.0,22,21.958153999992646,22.0,1.0,,,0.0,0,1.2693629333322558,0
8,8,True,0,8,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[4],interrupted,1,"[""1"", ""6"", ""6"", ""1"", ""1"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.4, 0.4, 0.39, 0.36, 0.4, 0.4]",6,9.55,False,False,practice,1,ANYTHING,8,interrupted,[4],2.15323619999981,ANYTHING,True,10.432593899982749,2.0,0.0,0.0,4.0,1.0,23,21.70715469999413,22.0,1.0454545454545454,,,0.045454545454545456,1,1.3040742374978436,0
9,1,False,1,1,SOMEONE,"[""S"", ""O"", ""M"", ""E"", ""O"", ""N"", ""E""]",[],sequential,2,"[""7"", ""8"", ""5"", ""9"", ""7"", ""1"", ""7"", ""2"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[6, 8]","[0.3, 0.32, 0.37, 0.31, 0.33, 0.34, 0.36, 0.31, 0.31]",9,13.75,False,False,main,1,SOMEONE,7,sequential,[],,SOMEONE,True,7.91150459999335,2.0,0.0,0.0,7.0,1.0,24,23.47443700001168,23.0,1.0434782608695652,,,0.043478260869565216,1,1.130214942856193,0
10,2,False,1,2,THINGS,"[""T"", ""H"", ""I"", ""N"", ""G"", ""S""]",[],sequential,2,"[""9"", ""3"", ""5"", ""9"", ""5"", ""5"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.34, 0.33, 0.31, 0.32, 0.36, 0.32, 0.34]",7,10.72,False,False,main,1,THINGS,6,sequential,[],,THINGS,True,6.589992200009874,2.0,0.0,0.0,5.0,1.0,16,19.021578100000625,19.0,0.8421052631578947,,,0.15789473684210525,-1,1.098332033334979,0
11,3,False,1,3,SOMETIMES,"[""S"", ""O"", ""M"", ""E"", ""T"", ""I"", ""M"", ""E"", ""S""]",[3],interrupted,1,"[""6"", ""7"", ""7"", ""8"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.32, 0.3, 0.32, 0.35, 0.29, 0.31]",6,9.09,False,False,main,1,SOMETIMES,9,interrupted,[3],1.8765772999904584,SOMETIMES,True,11.770163900000624,2.0,0.0,0.0,4.0,1.0,26,22.549227399998927,23.0,1.1304347826086956,,,0.13043478260869565,1,1.307795988888958,0
12,4,False,1,4,BEFORE,"[""B"", ""E"", ""F"", ""O"", ""R"", ""E""]",[2],interrupted,1,"[""7"", ""0"", ""9"", ""6"", ""8"", ""8"", ""0"", ""0"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.29, 0.4, 0.38, 0.33, 0.37, 0.35, 0.34, 0.31, 0.38]",9,13.95,False,False,main,1,BEFORE,6,interrupted,[2],2.9164887000079034,BEFORE,True,10.447251300007338,2.0,0.0,0.0,7.0,1.0,22,26.184730599998147,26.0,0.8461538461538461,,,0.15384615384615385,-1,1.7412085500012229,0
13,5,False,1,5,IMPORTANT,"[""I"", ""M"", ""P"", ""O"", ""R"", ""T"", ""A"", ""N"", ""T""]",[],sequential,2,"[""6"", ""8"", ""6"", ""7"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.29, 0.27, 0.28, 0.3, 0.36]",5,7.5,False,False,main,1,IMPORTANT,9,sequential,[],,IMPORTANT,True,8.27423659998749,1.0,0.0,0.0,4.0,1.0,18,17.4821774999873,17.0,1.0588235294117647,,,0.058823529411764705,1,0.9193596222208321,0
14,6,False,1,6,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[3],interrupted,1,"[""8"", ""8"", ""4"", ""6"", ""7"", ""8"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 7]","[0.35, 0.33, 0.36, 0.32, 0.38, 0.37, 0.33, 0.38]",8,12.42,False,False,main,1,SHOULD,6,interrupted,[3],2.442093100005877,SHOULD,True,10.4808253999945,2.0,0.0,0.0,6.0,1.0,24,24.660339800000656,25.0,0.96,,,0.04,-1,1.7468042333324165,0
15,7,False,1,7,AMERICAN,"[""A"", ""M"", ""E"", ""R"", ""I"", ""C"", ""A"", ""N""]",[6],interrupted,1,"[""2"", ""1"", ""1"", ""0"", ""0"", ""8"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.31, 0.36, 0.3, 0.32, 0.34, 0.32, 0.33]",7,10.68,False,False,main,1,AMERICAN,8,interrupted,[6],2.350965899997391,AMERICAN,True,10.1987294999999,2.0,0.0,0.0,5.0,1.0,23,22.58180139999604,23.0,1.0,,,0.0,0,1.2748411874999874,0
16,8,False,1,8,TOGETHER,"[""T"", ""O"", ""G"", ""E"", ""T"", ""H"", ""E"", ""R""]",[7],interrupted,1,"[""1"", ""1"", ""5"", ""4"", ""6"", ""6"", ""9"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.27, 0.31, 0.27, 0.3, 0.27, 0.31, 0.27, 0.29, 0.38]",9,13.47,True,False,main,1,TOGETHER,8,interrupted,[7],2.270476100005908,TOGETHER,True,11.272939600006794,2.0,0.0,0.0,7.0,1.0,22,26.55349770000612,27.0,0.8148148148148148,,,0.18518518518518517,-1,1.4091174500008492,0
17,9,False,2,1,SECOND,"[""S"", ""E"", ""C"", ""O"", ""N"", ""D""]",[4],interrupted,2,"[""2"", ""7"", ""2"", ""4"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.34, 0.27, 0.35, 0.28, 0.33]",5,7.57,False,False,main,2,SECOND,6,interrupted,[4],1.9555005000001984,SECOND,True,9.595205400008126,1.0,0.0,1.0,3.0,0.8,21,18.884832900002948,19.0,1.105263157894737,,,0.10526315789473684,1,1.5992009000013543,0
