GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[],sequential,1,"[""1"", ""2"", ""8"", ""8"", ""3"", ""5"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.32, 0.39, 0.34, 0.37, 0.36, 0.34, 0.3]",7,10.82,False,False,practice,1,BECAUSE,7,sequential,[],,BECAUSE,True,9.931877800030634,2.0,0.0,0.0,5.0,1.0,19,22.302766399923712,22.0,0.8636363636363636,,,0.13636363636363635,-1,1.418839685718662,0
2,2,True,0,2,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[4],interrupted,1,"[""2"", ""4"", ""4"", ""1"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.4, 0.37, 0.37, 0.37, 0.35]",5,7.86,False,False,practice,1,INCLUDING,9,interrupted,[4],11.69627119996585,INCLUDING,True,21.38215520000085,1.0,0.0,0.0,4.0,1.0,30,30.782569099916145,31.0,0.967741935483871,,,0.03225806451612903,-1,2.3757950222223165,0
3,3,True,0,3,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[4],interrupted,2,"[""6"", ""5"", ""1"", ""7"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.34, 0.27, 0.31, 0.32, 0.34]",5,7.58,False,False,practice,1,NATIONAL,8,interrupted,[4],4.047832400072366,NATIONIA,False,14.286603199783713,1.0,0.0,0.0,4.0,1.0,25,23.418130500009283,23.0,1.0869565217391304,,,0.08695652173913043,1,1.785825399972964,2
4,4,True,0,4,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""8"", ""7"", ""8"", ""0"", ""1"", ""9"", ""4"", ""9"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.33, 0.34, 0.31, 0.35, 0.33, 0.27, 0.34, 0.3, 0.3]",9,13.67,False,False,practice,1,SOMETHING,9,sequential,[],,SOMETHING,True,10.767262200126424,2.0,0.0,1.0,6.0,0.8888888888888888,30,26.00282090017572,26.0,1.1538461538461537,,,0.15384615384615385,1,1.1963624666807138,0
5,5,True,0,5,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[5],interrupted,1,"[""7"", ""4"", ""4"", ""1"", ""8"", ""2"", ""2"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.37, 0.34, 0.35, 0.32, 0.32, 0.31, 0.33, 0.38]",8,12.32,False,False,practice,1,SHOULD,6,interrupted,[5],2.6442183000035584,SHOULD,True,10.056220800150186,2.0,0.0,0.0,6.0,1.0,28,23.93450149986893,24.0,1.1666666666666667,,,0.16666666666666666,1,1.676036800025031,0
6,6,True,0,6,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,2,"[""9"", ""1"", ""9"", ""0"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.3, 0.34, 0.33, 0.33, 0.36]",5,7.66,False,False,practice,1,THROUGH,7,sequential,[],,THROUGH,True,11.932681599864736,1.0,0.0,0.0,4.0,1.0,21,21.13106260006316,21.0,1.0,,,0.0,0,1.7046687999806767,0
7,7,True,0,7,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""0"", ""0"", ""3"", ""0"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.36, 0.4, 0.4, 0.4, 0.4]",5,7.96,False,False,practice,1,PEOPLE,6,sequential,[],,PEOPLE,True,6.510879299836233,1.0,0.0,1.0,3.0,0.8,20,16.017502899980173,16.0,1.25,,,0.25,1,1.0851465499727055,0
8,8,True,0,8,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[7],interrupted,2,"[""6"", ""8"", ""6"", ""3"", ""0"", ""3"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.32, 0.36, 0.34, 0.3, 0.29, 0.3, 0.31]",7,10.62,False,False,practice,1,ANYTHING,8,interrupted,[7],6.538871500175446,ANYTHINI,False,18.963788400171325,2.0,0.0,1.0,4.0,0.8571428571428571,29,31.14479649998248,31.0,0.9354838709677419,,,0.06451612903225806,-1,2.3704735500214156,1
9,1,False,1,1,RESEARCH,"[""R"", ""E"", ""S"", ""E"", ""A"", ""R"", ""C"", ""H""]",[],sequential,1,"[""9"", ""9"", ""4"", ""3"", ""2"", ""6"", ""6"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 6]","[0.33, 0.33, 0.29, 0.31, 0.31, 0.28, 0.31, 0.32]",8,12.08,False,False,main,1,RESEARCH,8,sequential,[],,RESEARCH,True,11.549851499963552,2.0,0.0,0.0,6.0,1.0,34,25.191471899859607,25.0,1.36,,,0.36,1,1.443731437495444,0
10,2,False,1,2,CHILDREN,"[""C"", ""H"", ""I"", ""L"", ""D"", ""R"", ""E"", ""N""]",[5],interrupted,1,"[""2"", ""2"", ""8"", ""3"", ""0"", ""0"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.31, 0.3, 0.34, 0.3, 0.31, 0.3, 0.32]",7,10.58,False,False,main,1,CHILDREN,8,interrupted,[5],2.4632399000693117,CHILDREN,True,15.149617200018838,2.0,0.0,0.0,5.0,1.0,28,27.280128000071272,27.0,1.037037037037037,,,0.037037037037037035,1,1.8937021500023548,0
