GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[5],interrupted,2,"[""8"", ""9"", ""8"", ""1"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.4, 0.36, 0.4, 0.33, 0.38]",5,7.87,False,False,practice,1,SHOULD,6,interrupted,[5],1.073776200000793,SHOULD,True,6.905490500001179,1.0,0.0,0.0,4.0,1.0,15,16.347557699999925,16.0,0.9375,,,0.0625,-1,1.1509150833335298,0
2,2,True,0,2,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[5],interrupted,2,"[""6"", ""4"", ""6"", ""6"", ""3"", ""6"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.31, 0.34, 0.35, 0.4, 0.31, 0.36, 0.39]",7,10.86,False,False,practice,1,INCLUDING,9,interrupted,[5],1.5951447999996162,INCLUDING,True,8.589844599999196,2.0,0.0,1.0,4.0,0.8571428571428571,26,21.06060189999971,21.0,1.2380952380952381,,,0.23809523809523808,1,0.9544271777776885,0
3,3,True,0,3,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""7"", ""6"", ""6"", ""5"", ""1"", ""3"", ""3"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.4, 0.4, 0.4, 0.4, 0.36, 0.4, 0.4, 0.36]",8,12.72,False,False,practice,1,PEOPLE,6,sequential,[],,PEOPLE,True,6.058290100000704,2.0,0.0,0.0,6.0,1.0,28,20.407604099999844,20.0,1.4,,,0.4,1,1.009715016666784,0
4,4,True,0,4,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[2],interrupted,1,"[""4"", ""9"", ""3"", ""3"", ""5"", ""9"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.3, 0.4, 0.32, 0.33, 0.36, 0.36, 0.33, 0.29]",8,12.29,False,False,practice,1,BECAUSE,7,interrupted,[2],4.644797299999482,BECAUSE,True,10.799643500000457,2.0,0.0,1.0,5.0,0.875,27,24.70776819999992,25.0,1.08,,,0.08,1,1.5428062142857795,0
5,5,True,0,5,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,2,"[""9"", ""3"", ""1"", ""7"", ""1"", ""3"", ""1"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.33, 0.35, 0.4, 0.35, 0.38, 0.35, 0.4, 0.36]",8,12.52,False,False,practice,1,NATIONAL,8,sequential,[],,NATIONAL,True,7.10338160000083,2.0,0.0,1.0,5.0,0.875,18,21.25163380000049,21.0,0.8571428571428571,,,0.14285714285714285,-1,0.8879227000001038,0
6,6,True,0,6,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""0"", ""9"", ""5"", ""5"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.28, 0.29, 0.3, 0.28, 0.27]",5,7.42,False,False,practice,1,SOMETHING,9,sequential,[],,SOMETHING,True,8.281230399999913,1.0,0.0,0.0,4.0,1.0,24,17.28294469999946,17.0,1.411764705882353,,,0.4117647058823529,1,0.9201367111111014,0
7,7,True,0,7,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""8"", ""4"", ""4"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.32, 0.33, 0.27, 0.33, 0.3]",5,7.55,False,False,practice,1,ANYTHING,8,sequential,[],,ANYTHING,True,7.841460599999664,1.0,0.0,0.0,4.0,1.0,19,16.982922000000144,17.0,1.1176470588235294,,,0.11764705882352941,1,0.980182574999958,0
8,8,True,0,8,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[3],interrupted,1,"[""2"", ""3"", ""6"", ""3"", ""5"", ""5"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.3, 0.34, 0.3, 0.4, 0.37, 0.31, 0.31, 0.35]",8,12.28,False,False,practice,1,THROUGH,7,interrupted,[3],1.226492099999632,THROUGH,True,8.32653399999981,2.0,0.0,0.0,6.0,1.0,21,22.2485428,22.0,0.9545454545454546,,,0.045454545454545456,-1,1.1895048571428302,0
9,1,False,1,1,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[2],interrupted,2,"[""9"", ""7"", ""1"", ""7"", ""8"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.38, 0.37, 0.36, 0.4, 0.35, 0.38]",6,9.44,False,False,main,1,SHOULD,6,interrupted,[2],1.7888896999993449,SHULDD,False,8.686990699999114,1.0,0.0,0.0,5.0,1.0,22,19.73352799999975,20.0,1.1,,,0.1,1,1.4478317833331857,2
10,2,False,1,2,DURING,"[""D"", ""U"", ""R"", ""I"", ""N"", ""G""]",[4],interrupted,2,"[""6"", ""4"", ""2"", ""4"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.29, 0.4, 0.34, 0.37, 0.36]",5,7.76,False,False,main,1,DURING,6,interrupted,[4],0.9073887999993532,DURING,True,6.038628099999187,1.0,0.0,0.0,4.0,1.0,25,15.376578099999278,15.0,1.6666666666666667,,,0.6666666666666666,1,1.0064380166665312,0
