GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""3"", ""3"", ""1"", ""9"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.32, 0.35, 0.33, 0.34, 0.31]",5,7.65,False,False,practice,1,SOMETHING,9,sequential,[],,SOMETHING,True,11.32142739999108,1.0,0.0,0.0,4.0,1.0,14,20.53769100015052,21.0,0.6666666666666666,,,0.3333333333333333,-1,1.2579363777767867,0
2,2,True,0,2,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,2,"[""5"", ""8"", ""7"", ""8""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.4, 0.4, 0.35, 0.4]",4,6.35,False,False,practice,1,INCLUDING,9,sequential,[],,INCLUDING,True,10.518903200048952,1.0,0.0,0.0,3.0,1.0,23,18.41267649992369,18.0,1.2777777777777777,,,0.2777777777777778,1,1.1687670222276614,0
3,3,True,0,3,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[4],interrupted,2,"[""3"", ""5"", ""3"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.27, 0.28, 0.29, 0.26, 0.25]",5,7.35,False,False,practice,1,SHOULD,6,interrupted,[4],3.040199600160122,SHOULD,True,10.172337000025436,1.0,0.0,1.0,3.0,0.8,21,19.08891399996355,19.0,1.105263157894737,,,0.10526315789473684,1,1.6953895000042394,0
4,4,True,0,4,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""1"", ""1"", ""5"", ""1"", ""5"", ""9"", ""6"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 7]","[0.35, 0.4, 0.4, 0.39, 0.4, 0.4, 0.35, 0.39]",8,12.68,False,False,practice,1,ANYTHING,8,sequential,[],,ANYTHING,True,8.387303899973631,2.0,0.0,0.0,6.0,1.0,22,22.66194020002149,23.0,0.9565217391304348,,,0.043478260869565216,-1,1.0484129874967039,0
5,5,True,0,5,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,2,"[""2"", ""0"", ""2"", ""2"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.37, 0.34, 0.37, 0.39, 0.32]",5,7.79,False,False,practice,1,NATIONAL,8,sequential,[],,NATIONAL,True,10.001099099870771,1.0,0.0,2.0,2.0,0.6,24,19.357856700196866,19.0,1.263157894736842,,,0.2631578947368421,1,1.2501373874838464,0
6,6,True,0,6,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[3],interrupted,1,"[""9"", ""9"", ""5"", ""5"", ""8"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 3]","[0.27, 0.35, 0.31, 0.27, 0.32, 0.34]",6,9.06,False,False,practice,1,THROUGH,7,interrupted,[3],2.8902082999702543,THRROUG,False,14.75858710007742,2.0,0.0,0.0,4.0,1.0,25,25.39057589997537,25.0,1.0,,,0.0,0,2.1083695857253457,2
7,7,True,0,7,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[2],interrupted,1,"[""8"", ""9"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.37, 0.3, 0.32, 0.27]",4,6.06,False,False,practice,1,PEOPLE,6,interrupted,[2],1.7368807999882847,PEOLEE,False,15.201794899767265,1.0,0.0,0.0,3.0,1.0,25,22.803673299960792,23.0,1.0869565217391304,,,0.08695652173913043,1,2.5336324832945443,2
8,8,True,0,8,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[2],interrupted,2,"[""1"", ""6"", ""3"", ""7"", ""3"", ""4"", ""1"", ""5"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 8]","[0.28, 0.28, 0.29, 0.29, 0.33, 0.28, 0.27, 0.28, 0.28]",9,13.38,False,False,practice,1,BECAUSE,7,interrupted,[2],4.168682700023055,BECAUSE,True,13.075999499997124,2.0,0.0,0.0,7.0,1.0,26,28.074907500064,28.0,0.9285714285714286,,,0.07142857142857142,-1,1.8679999285710178,0
9,1,False,1,1,POLITICAL,"[""P"", ""O"", ""L"", ""I"", ""T"", ""I"", ""C"", ""A"", ""L""]",[],sequential,1,"[""1"", ""1"", ""9"", ""2"", ""0"", ""6"", ""6"", ""3"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 6]","[0.26, 0.29, 0.28, 0.25, 0.27, 0.29, 0.26, 0.26, 0.3]",9,13.26,False,False,main,1,POLITICAL,9,sequential,[],,POLITICAL,True,10.605146900052205,2.0,0.0,0.0,7.0,1.0,24,25.49403619999066,25.0,0.96,,,0.04,-1,1.1783496555613562,0
10,2,False,1,2,BEAUTIFUL,"[""B"", ""E"", ""A"", ""U"", ""T"", ""I"", ""F"", ""U"", ""L""]",[3],interrupted,2,"[""1"", ""4"", ""1"", ""1"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.4, 0.39, 0.38, 0.4, 0.36]",5,7.93,False,False,main,1,BEAUTIFUL,9,interrupted,[3],4.441127700032666,BEAUTIFUL,True,18.5162755001802,1.0,0.0,0.0,4.0,1.0,28,28.00504419999197,28.0,1.0,,,0.0,0,2.0573639444644667,0
