GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[2],interrupted,1,"[""7"", ""6"", ""8"", ""2"", ""6"", ""2"", ""2"", ""7"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[6, 8]","[0.28, 0.39, 0.32, 0.34, 0.31, 0.36, 0.35, 0.29, 0.34]",9,13.78,False,False,practice,1,NATIONAL,8,interrupted,[2],2.757769800024107,NATIONAL,True,12.758040200045798,2.0,0.0,0.0,7.0,1.0,30,28.16056389998994,28.0,1.0714285714285714,,,0.07142857142857142,1,1.5947550250057247,0
2,2,True,0,2,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[4],interrupted,2,"[""9"", ""4"", ""3"", ""9"", ""0"", ""9"", ""1"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.3, 0.27, 0.29, 0.31, 0.3, 0.31, 0.27, 0.27]",8,11.92,False,False,practice,1,THROUGH,7,interrupted,[4],5.16232190001756,THROOUH,False,12.70839360001264,2.0,0.0,1.0,5.0,0.875,29,26.229552300006617,26.0,1.1153846153846154,,,0.11538461538461539,1,1.8154848000018056,2
3,3,True,0,3,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,1,"[""2"", ""2"", ""1"", ""9""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.37, 0.34, 0.39, 0.35]",4,6.25,False,False,practice,1,SHOULD,6,sequential,[],,SHOULD,True,6.24299230001634,1.0,0.0,0.0,3.0,1.0,18,14.042116199998418,14.0,1.2857142857142858,,,0.2857142857142857,1,1.04049871666939,0
4,4,True,0,4,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""6"", ""0"", ""3"", ""0"", ""6"", ""0"", ""4"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.35, 0.33, 0.4, 0.34, 0.35, 0.35, 0.32, 0.33]",8,12.37,False,False,practice,1,ANYTHING,8,sequential,[],,ANYTHING,True,7.310669500002405,2.0,0.0,1.0,5.0,0.875,16,21.29908290001913,21.0,0.7619047619047619,,,0.23809523809523808,-1,0.9138336875003006,0
5,5,True,0,5,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""3"", ""6"", ""3"", ""2"", ""1"", ""9"", ""1"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.39, 0.4]",8,12.79,False,False,practice,1,SOMETHING,9,sequential,[],,SOMETHING,True,8.638338999997359,2.0,0.0,1.0,5.0,0.875,23,23.0438461000158,23.0,1.0,,,0.0,0,0.959815444444151,0
6,6,True,0,6,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[3],interrupted,1,"[""4"", ""4"", ""8"", ""5"", ""0"", ""4"", ""9"", ""9"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 7]","[0.28, 0.33, 0.37, 0.33, 0.31, 0.33, 0.32, 0.29, 0.28]",9,13.64,False,False,practice,1,PEOPLE,6,interrupted,[3],6.709163499996066,PEOOPL,False,13.347144300001672,1.0,1.0,0.0,7.0,0.8888888888888888,19,28.598529600014444,29.0,0.6551724137931034,,,0.3448275862068966,-1,2.2245240500002788,2
7,7,True,0,7,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[2],interrupted,1,"[""8"", ""8"", ""0"", ""4"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.25, 0.26, 0.25, 0.25, 0.25, 0.25]",6,8.71,False,False,practice,1,BECAUSE,7,interrupted,[2],1.5930430000007618,BDCAUSE,False,8.720421700010775,2.0,0.0,0.0,4.0,1.0,22,19.00755029998254,19.0,1.1578947368421053,,,0.15789473684210525,1,1.2457745285729678,1
8,8,True,0,8,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,2,"[""0"", ""4"", ""2"", ""4"", ""4"", ""7"", ""2"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.33, 0.32, 0.32, 0.27, 0.29, 0.37, 0.3, 0.35]",8,12.15,False,False,practice,1,INCLUDING,9,sequential,[],,INCLUDING,True,8.631290699995589,2.0,0.0,0.0,6.0,1.0,23,22.385662799992133,22.0,1.0454545454545454,,,0.045454545454545456,1,0.9590322999995098,0
9,1,False,1,1,ALWAYS,"[""A"", ""L"", ""W"", ""A"", ""Y"", ""S""]",[3],interrupted,1,"[""2"", ""4"", ""6"", ""6"", ""9"", ""0"", ""9"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.31, 0.37, 0.31, 0.34, 0.36, 0.35, 0.33, 0.36]",8,12.33,False,False,main,1,ALWAYS,6,interrupted,[3],2.9074435000075027,ALWAWS,False,8.714815699961036,2.0,0.0,1.0,5.0,0.875,19,22.636212100012926,23.0,0.8260869565217391,,,0.17391304347826086,-1,1.4524692833268393,1
10,2,False,1,2,CHILDREN,"[""C"", ""H"", ""I"", ""L"", ""D"", ""R"", ""E"", ""N""]",[6],interrupted,2,"[""0"", ""7"", ""7"", ""6"", ""7"", ""4"", ""7"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.4, 0.39, 0.4, 0.4, 0.4, 0.38, 0.4, 0.4]",8,12.77,False,False,main,1,CHILDREN,8,interrupted,[6],1.3090249999950174,CHILDREN,True,8.471059700008482,2.0,0.0,0.0,6.0,1.0,19,22.861593999987235,23.0,0.8260869565217391,,,0.17391304347826086,-1,1.0588824625010602,0
