trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[6],interrupted,2,"[""0"", ""4"", ""9"", ""7"", ""2"", ""7"", ""3"", ""5"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 8]","[0.38, 0.34, 0.37, 0.34, 0.33, 0.33, 0.3, 0.36, 0.34]",9,13.89,False,False
2,True,0,2,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""1"", ""5"", ""0"", ""0"", ""6"", ""9"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.29, 0.28, 0.32, 0.3, 0.32, 0.32, 0.29, 0.29]",8,12.01,False,False
3,True,0,3,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[3],interrupted,1,"[""7"", ""7"", ""5"", ""2"", ""1"", ""6"", ""7"", ""5"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 8]","[0.34, 0.34, 0.34, 0.36, 0.33, 0.31, 0.32, 0.32, 0.33]",9,13.79,False,False
4,True,0,4,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""8"", ""8"", ""0"", ""3""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.33, 0.36, 0.4, 0.39]",4,6.28,False,False
5,True,0,5,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,2,"[""5"", ""6"", ""5"", ""1"", ""9"", ""2"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.34, 0.3, 0.33, 0.35, 0.37, 0.36, 0.33]",7,10.78,False,False
6,True,0,6,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[4],interrupted,2,"[""7"", ""9"", ""7"", ""5"", ""0"", ""7"", ""9"", ""7"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.33, 0.33, 0.31, 0.3, 0.29, 0.36, 0.32, 0.31, 0.32]",9,13.67,False,False
7,True,0,7,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[3],interrupted,1,"[""3"", ""3"", ""9"", ""7"", ""7"", ""2"", ""3"", ""6"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 4]","[0.31, 0.32, 0.34, 0.33, 0.28, 0.3, 0.26, 0.3, 0.39]",9,13.63,False,False
8,True,0,8,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[],sequential,2,"[""4"", ""7"", ""4"", ""0"", ""8"", ""9"", ""8"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.31, 0.34, 0.29, 0.29, 0.31, 0.29, 0.27, 0.29]",8,11.99,False,False
1,False,1,1,PROBABLY,"[""P"", ""R"", ""O"", ""B"", ""A"", ""B"", ""L"", ""Y""]",[],sequential,2,"[""0"", ""8"", ""5"", ""8"", ""3"", ""3"", ""7"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.26, 0.26, 0.3, 0.26, 0.26, 0.27, 0.25, 0.29]",8,11.75,False,False
2,False,1,2,AROUND,"[""A"", ""R"", ""O"", ""U"", ""N"", ""D""]",[3],interrupted,1,"[""2"", ""2"", ""1"", ""2"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.32, 0.32, 0.3, 0.28, 0.28]",5,7.5,False,False
3,False,1,3,DURING,"[""D"", ""U"", ""R"", ""I"", ""N"", ""G""]",[4],interrupted,1,"[""5"", ""7"", ""3"", ""3"", ""5"", ""5"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.36, 0.33, 0.4, 0.36, 0.4, 0.34, 0.36]",7,10.95,False,False
4,False,1,4,TOGETHER,"[""T"", ""O"", ""G"", ""E"", ""T"", ""H"", ""E"", ""R""]",[],sequential,2,"[""0"", ""4"", ""0"", ""7"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.4, 0.35, 0.34, 0.39, 0.39]",5,7.87,False,False
5,False,1,5,FAMILY,"[""F"", ""A"", ""M"", ""I"", ""L"", ""Y""]",[],sequential,2,"[""1"", ""1"", ""2"", ""1""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.34, 0.4, 0.33, 0.33]",4,6.2,False,False
6,False,1,6,PLEASE,"[""P"", ""L"", ""E"", ""A"", ""S"", ""E""]",[],sequential,1,"[""3"", ""3"", ""1"", ""4""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.31, 0.34, 0.36, 0.36]",4,6.17,False,False
