trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[2],interrupted,2,"[""5"", ""6"", ""9"", ""6"", ""3"", ""4"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.34, 0.34, 0.31, 0.36, 0.29, 0.31, 0.33]",7,10.68,False,False
2,True,0,2,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[2],interrupted,2,"[""2"", ""2"", ""3"", ""3"", ""3"", ""6"", ""3"", ""7"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.27, 0.29, 0.26, 0.29, 0.28, 0.27, 0.27, 0.28, 0.26]",9,13.27,False,False
3,True,0,3,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[6],interrupted,1,"[""8"", ""3"", ""3"", ""9"", ""9"", ""5"", ""9"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.31, 0.35, 0.35, 0.3, 0.28, 0.29, 0.31, 0.31]",8,12.1,False,False
4,True,0,4,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,1,"[""9"", ""9"", ""3"", ""8"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.26, 0.25, 0.25, 0.26, 0.26]",5,7.28,False,False
5,True,0,5,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[4],interrupted,2,"[""8"", ""0"", ""8"", ""3"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.35, 0.31, 0.34, 0.31, 0.32]",5,7.63,False,False
6,True,0,6,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""6"", ""6"", ""9"", ""0"", ""2"", ""2"", ""8"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,11.6,False,False
7,True,0,7,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""6"", ""4"", ""8"", ""7"", ""7"", ""8"", ""8"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.4, 0.36, 0.4, 0.39, 0.34, 0.4, 0.4, 0.34]",8,12.63,False,False
8,True,0,8,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,2,"[""8"", ""3"", ""8"", ""1"", ""8"", ""3"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.32, 0.28, 0.29, 0.26, 0.3, 0.29, 0.3]",7,10.44,False,False
1,False,1,1,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""1"", ""1"", ""7"", ""8"", ""6"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.26, 0.28, 0.27, 0.25, 0.28, 0.27]",6,8.81,False,False
2,False,1,2,REMEMBER,"[""R"", ""E"", ""M"", ""E"", ""M"", ""B"", ""E"", ""R""]",[],sequential,2,"[""4"", ""1"", ""2"", ""4"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.26, 0.32, 0.29, 0.27, 0.27]",5,7.41,False,False
