trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[2],interrupted,2,"[""9"", ""7"", ""5"", ""7"", ""8"", ""7"", ""5"", ""6"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.34, 0.35, 0.29, 0.29, 0.37, 0.36, 0.34, 0.34, 0.34]",9,13.82,False,False
2,True,0,2,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""4"", ""1"", ""6"", ""8"", ""8"", ""9"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.4, 0.37, 0.37, 0.35, 0.4, 0.38, 0.38, 0.31]",8,12.56,False,False
3,True,0,3,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[8],interrupted,2,"[""2"", ""1"", ""2"", ""7"", ""0"", ""1"", ""3"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.36, 0.4, 0.39, 0.4, 0.36, 0.36, 0.36, 0.36]",8,12.59,False,False
4,True,0,4,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,2,"[""1"", ""5"", ""2"", ""4"", ""0"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[5],"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",6,8.7,False,False
5,True,0,5,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,1,"[""0"", ""0"", ""1"", ""9"", ""3"", ""3"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.25, 0.25, 0.25, 0.25, 0.26, 0.25, 0.25]",7,10.16,False,False
6,True,0,6,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[2],interrupted,2,"[""0"", ""7"", ""0"", ""2"", ""0"", ""5"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.38, 0.4, 0.35, 0.31, 0.35, 0.35, 0.39]",7,10.93,False,False
7,True,0,7,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[6],interrupted,1,"[""5"", ""1"", ""1"", ""0"", ""1"", ""8"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.38, 0.34, 0.38, 0.36, 0.35, 0.39, 0.36, 0.37]",8,12.53,False,False
8,True,0,8,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""6"", ""0"", ""3"", ""2"", ""2"", ""8"", ""6"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.3, 0.34, 0.35, 0.29, 0.3, 0.4, 0.31, 0.34]",8,12.23,False,False
1,False,1,1,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[2],interrupted,1,"[""6"", ""5"", ""1"", ""1"", ""2"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.3, 0.31, 0.29, 0.29, 0.32, 0.3]",6,9.01,False,False
2,False,1,2,BEAUTIFUL,"[""B"", ""E"", ""A"", ""U"", ""T"", ""I"", ""F"", ""U"", ""L""]",[],sequential,2,"[""4"", ""4"", ""4"", ""6"", ""1"", ""9"", ""4"", ""9"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.33, 0.4, 0.31, 0.35, 0.34, 0.36, 0.31, 0.31, 0.4]",9,13.91,False,False
