trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""2"", ""5"", ""2"", ""7"", ""2"", ""5"", ""7"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.26, 0.28, 0.25, 0.28, 0.25, 0.28, 0.26, 0.27]",8,11.73,False,False
2,True,0,2,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""7"", ""4"", ""2"", ""5"", ""2"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.34, 0.4, 0.35, 0.3, 0.35, 0.36]",6,9.3,False,False
3,True,0,3,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,1,"[""4"", ""4"", ""0"", ""0"", ""9"", ""4"", ""2"", ""6"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 3]","[0.36, 0.35, 0.38, 0.3, 0.31, 0.39, 0.37, 0.36, 0.32]",9,13.94,False,False
4,True,0,4,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[],sequential,1,"[""0"", ""1"", ""9"", ""4"", ""4"", ""6"", ""2"", ""2"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.34, 0.29, 0.3, 0.36, 0.31, 0.36, 0.31, 0.35, 0.31]",9,13.73,False,False
5,True,0,5,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[3],interrupted,2,"[""8"", ""7"", ""4"", ""7"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.35, 0.4, 0.34, 0.34, 0.38]",5,7.81,False,False
6,True,0,6,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[3],interrupted,2,"[""2"", ""1"", ""2"", ""9"", ""2"", ""3"", ""1"", ""9"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.27, 0.3, 0.31, 0.33, 0.29, 0.26, 0.34, 0.37, 0.3]",9,13.57,False,False
7,True,0,7,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[2],interrupted,1,"[""1"", ""5"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.36, 0.37, 0.33, 0.37]",4,6.23,False,False
8,True,0,8,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[5],interrupted,1,"[""1"", ""4"", ""0"", ""0"", ""7"", ""3"", ""5"", ""4"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 8]","[0.25, 0.29, 0.28, 0.26, 0.27, 0.28, 0.27, 0.28, 0.3]",9,13.28,False,False
1,False,1,1,WITHOUT,"[""W"", ""I"", ""T"", ""H"", ""O"", ""U"", ""T""]",[6],interrupted,1,"[""8"", ""8"", ""3"", ""6""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.28, 0.33, 0.32, 0.3]",4,6.03,False,False
2,False,1,2,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[4],interrupted,2,"[""4"", ""2"", ""6"", ""2"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.32, 0.31, 0.31, 0.31, 0.33]",5,7.58,False,False
3,False,1,3,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[5],interrupted,1,"[""7"", ""9"", ""9"", ""5"", ""4"", ""9"", ""9"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.36, 0.39, 0.38, 0.36, 0.38, 0.32, 0.31, 0.34]",8,12.44,False,False
4,False,1,4,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,2,"[""5"", ""2"", ""0"", ""2"", ""2"", ""2"", ""0"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.3, 0.26, 0.27, 0.28, 0.27, 0.28, 0.34, 0.28]",8,11.88,False,False
5,False,1,5,RESEARCH,"[""R"", ""E"", ""S"", ""E"", ""A"", ""R"", ""C"", ""H""]",[7],interrupted,1,"[""3"", ""8"", ""0"", ""2"", ""2"", ""8"", ""8"", ""6"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.31, 0.3, 0.32, 0.32, 0.31, 0.36, 0.3, 0.31, 0.31]",9,13.64,False,False
6,False,1,6,SOMETIMES,"[""S"", ""O"", ""M"", ""E"", ""T"", ""I"", ""M"", ""E"", ""S""]",[],sequential,1,"[""5"", ""5"", ""9"", ""3"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.4, 0.4, 0.4, 0.4, 0.37]",5,7.97,False,False
7,False,1,7,FAMILY,"[""F"", ""A"", ""M"", ""I"", ""L"", ""Y""]",[5],interrupted,2,"[""5"", ""7"", ""5"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.27, 0.28, 0.27, 0.27, 0.26]",5,7.35,False,False
8,False,1,8,AVAILABLE,"[""A"", ""V"", ""A"", ""I"", ""L"", ""A"", ""B"", ""L"", ""E""]",[],sequential,1,"[""9"", ""7"", ""7"", ""0"", ""0"", ""1"", ""3"", ""0"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,13.05,True,False
9,False,2,1,IMPORTANT,"[""I"", ""M"", ""P"", ""O"", ""R"", ""T"", ""A"", ""N"", ""T""]",[],sequential,2,"[""5"", ""9"", ""5"", ""5"", ""5"", ""2"", ""3"", ""4"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.3, 0.3, 0.3, 0.33, 0.32, 0.33, 0.3, 0.28, 0.32]",9,13.58,False,False
10,False,2,2,AGAINST,"[""A"", ""G"", ""A"", ""I"", ""N"", ""S"", ""T""]",[],sequential,1,"[""9"", ""9"", ""8"", ""3""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.33, 0.4, 0.4, 0.36]",4,6.29,False,False
11,False,2,3,AMERICAN,"[""A"", ""M"", ""E"", ""R"", ""I"", ""C"", ""A"", ""N""]",[],sequential,2,"[""1"", ""3"", ""2"", ""3"", ""5"", ""3"", ""2"", ""4"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.27, 0.3, 0.25, 0.32, 0.26, 0.26, 0.27, 0.27, 0.27]",9,13.27,False,False
12,False,2,4,COMPANY,"[""C"", ""O"", ""M"", ""P"", ""A"", ""N"", ""Y""]",[],sequential,2,"[""5"", ""2"", ""5"", ""4"", ""8"", ""4"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.35, 0.35, 0.35, 0.4, 0.35, 0.4, 0.4]",7,11.0,False,False
13,False,2,5,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[6],interrupted,2,"[""2"", ""3"", ""2"", ""7""]","[1.2, 1.2, 1.2, 1.2]",[2],"[0.35, 0.31, 0.36, 0.38]",4,6.2,False,False
14,False,2,6,ANOTHER,"[""A"", ""N"", ""O"", ""T"", ""H"", ""E"", ""R""]",[2],interrupted,1,"[""8"", ""1"", ""1"", ""5"", ""5"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.34, 0.36, 0.3, 0.31, 0.31, 0.33]",6,9.15,False,False
15,False,2,7,BEFORE,"[""B"", ""E"", ""F"", ""O"", ""R"", ""E""]",[2],interrupted,2,"[""6"", ""9"", ""3"", ""0"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.29, 0.27, 0.28, 0.29, 0.27]",5,7.4,False,False
16,False,2,8,BEAUTIFUL,"[""B"", ""E"", ""A"", ""U"", ""T"", ""I"", ""F"", ""U"", ""L""]",[7],interrupted,1,"[""8"", ""5"", ""6"", ""6""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.33, 0.36, 0.35, 0.29]",4,6.13,True,False
17,False,3,1,PLEASE,"[""P"", ""L"", ""E"", ""A"", ""S"", ""E""]",[],sequential,1,"[""6"", ""0"", ""0"", ""9"", ""3"", ""7"", ""7"", ""2"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.29, 0.34, 0.31, 0.34, 0.33, 0.35, 0.38, 0.27, 0.31]",9,13.72,False,False
18,False,3,2,EVERYONE,"[""E"", ""V"", ""E"", ""R"", ""Y"", ""O"", ""N"", ""E""]",[2],interrupted,1,"[""8"", ""7"", ""7"", ""0"", ""1"", ""6"", ""2"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.34, 0.35, 0.29, 0.36, 0.32, 0.29, 0.29, 0.32]",8,12.16,False,False
19,False,3,3,THINGS,"[""T"", ""H"", ""I"", ""N"", ""G"", ""S""]",[],sequential,2,"[""0"", ""9"", ""0"", ""1"", ""9"", ""3"", ""0"", ""4"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 8]","[0.28, 0.27, 0.26, 0.25, 0.27, 0.25, 0.26, 0.27, 0.25]",9,13.16,False,False
20,False,3,4,CHILDREN,"[""C"", ""H"", ""I"", ""L"", ""D"", ""R"", ""E"", ""N""]",[],sequential,1,"[""5"", ""7"", ""7"", ""8"", ""7"", ""0"", ""1"", ""6"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 8]","[0.34, 0.36, 0.34, 0.33, 0.34, 0.35, 0.34, 0.4, 0.29]",9,13.89,False,True
21,False,3,5,REMEMBER,"[""R"", ""E"", ""M"", ""E"", ""M"", ""B"", ""E"", ""R""]",[],sequential,2,"[""1"", ""5"", ""7"", ""5"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.25, 0.29, 0.25, 0.26, 0.27]",5,7.32,False,False
22,False,3,6,HOWEVER,"[""H"", ""O"", ""W"", ""E"", ""V"", ""E"", ""R""]",[4],interrupted,1,"[""2"", ""2"", ""3"", ""3"", ""0"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 3]","[0.28, 0.26, 0.25, 0.27, 0.27, 0.3]",6,8.83,False,False
23,False,3,7,POLITICAL,"[""P"", ""O"", ""L"", ""I"", ""T"", ""I"", ""C"", ""A"", ""L""]",[5],interrupted,2,"[""4"", ""6"", ""2"", ""5"", ""2"", ""6"", ""2"", ""9"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.27, 0.3, 0.29, 0.3, 0.28, 0.3, 0.35, 0.32, 0.29]",9,13.5,False,False
24,False,3,8,SOMEONE,"[""S"", ""O"", ""M"", ""E"", ""O"", ""N"", ""E""]",[3],interrupted,2,"[""5"", ""4"", ""5"", ""9"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.32, 0.35, 0.35, 0.3, 0.27]",5,7.59,True,False
25,False,4,1,DURING,"[""D"", ""U"", ""R"", ""I"", ""N"", ""G""]",[],sequential,1,"[""1"", ""5"", ""5"", ""7"", ""7"", ""8"", ""3"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.27, 0.3, 0.27, 0.27, 0.26, 0.28, 0.28, 0.27]",8,11.8,False,False
26,False,4,2,COMPANIES,"[""C"", ""O"", ""M"", ""P"", ""A"", ""N"", ""I"", ""E"", ""S""]",[],sequential,1,"[""8"", ""7"", ""7"", ""4"", ""6"", ""6"", ""5"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.38, 0.3, 0.32, 0.34, 0.3, 0.31, 0.33, 0.4]",8,12.28,False,False
27,False,4,3,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,2,"[""9"", ""1"", ""9"", ""8"", ""6"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.32, 0.3, 0.37, 0.3, 0.34, 0.29]",6,9.12,False,False
28,False,4,4,ALWAYS,"[""A"", ""L"", ""W"", ""A"", ""Y"", ""S""]",[4],interrupted,2,"[""9"", ""0"", ""6"", ""0"", ""2"", ""7"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.35, 0.34, 0.31, 0.39, 0.35, 0.32, 0.37]",7,10.83,False,False
29,False,4,5,PRESIDENT,"[""P"", ""R"", ""E"", ""S"", ""I"", ""D"", ""E"", ""N"", ""T""]",[],sequential,2,"[""9"", ""7"", ""1"", ""7"", ""4"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.29, 0.29, 0.3, 0.3, 0.29, 0.3, 0.34]",7,10.51,False,False
30,False,4,6,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[5],interrupted,1,"[""8"", ""8"", ""3"", ""6""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.33, 0.34, 0.34, 0.35]",4,6.16,False,False
31,False,4,7,THOUGHT,"[""T"", ""H"", ""O"", ""U"", ""G"", ""H"", ""T""]",[],sequential,2,"[""4"", ""2"", ""7"", ""4"", ""7"", ""8"", ""9"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.27, 0.26, 0.26, 0.28, 0.28, 0.29, 0.26, 0.27]",8,11.77,False,False
32,False,4,8,QUESTION,"[""Q"", ""U"", ""E"", ""S"", ""T"", ""I"", ""O"", ""N""]",[],sequential,1,"[""0"", ""3"", ""1"", ""1"", ""4"", ""8"", ""4"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.35, 0.32, 0.4, 0.36, 0.38, 0.34, 0.36, 0.39]",8,12.5,True,False
33,False,5,1,EDUCATION,"[""E"", ""D"", ""U"", ""C"", ""A"", ""T"", ""I"", ""O"", ""N""]",[],sequential,1,"[""2"", ""3"", ""3"", ""7"", ""7"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.31, 0.33, 0.29, 0.31, 0.26, 0.3]",6,9.0,False,False
34,False,5,2,PROBABLY,"[""P"", ""R"", ""O"", ""B"", ""A"", ""B"", ""L"", ""Y""]",[],sequential,1,"[""4"", ""2"", ""2"", ""8"", ""3"", ""3"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.25, 0.33, 0.3, 0.27, 0.31, 0.27, 0.31]",7,10.44,False,False
35,False,5,3,AROUND,"[""A"", ""R"", ""O"", ""U"", ""N"", ""D""]",[2],interrupted,2,"[""5"", ""6"", ""5"", ""7"", ""8"", ""2"", ""3"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.4, 0.38, 0.4, 0.37, 0.4, 0.4, 0.39, 0.39]",8,12.73,False,False
36,False,5,4,ALREADY,"[""A"", ""L"", ""R"", ""E"", ""A"", ""D"", ""Y""]",[2],interrupted,2,"[""0"", ""6"", ""3"", ""7"", ""0"", ""7"", ""9"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.32, 0.34, 0.36, 0.4, 0.3, 0.32, 0.36, 0.37]",8,12.37,False,False
37,False,5,5,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[5],interrupted,1,"[""5"", ""7"", ""2"", ""2"", ""0"", ""6"", ""8"", ""8"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.34, 0.36, 0.32, 0.37, 0.37, 0.34, 0.38, 0.31, 0.34]",9,13.93,False,False
38,False,5,6,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[5],interrupted,2,"[""9"", ""3"", ""5"", ""3"", ""6"", ""0"", ""7"", ""5"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 8]","[0.29, 0.26, 0.3, 0.31, 0.28, 0.29, 0.3, 0.29, 0.33]",9,13.45,False,False
39,False,5,7,SECOND,"[""S"", ""E"", ""C"", ""O"", ""N"", ""D""]",[5],interrupted,1,"[""3"", ""3"", ""6"", ""1"", ""3"", ""7"", ""8"", ""4"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 8]","[0.37, 0.31, 0.4, 0.35, 0.35, 0.36, 0.4, 0.33, 0.32]",9,13.99,False,False
40,False,5,8,TOGETHER,"[""T"", ""O"", ""G"", ""E"", ""T"", ""H"", ""E"", ""R""]",[],sequential,2,"[""6"", ""9"", ""6"", ""0"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.4, 0.4, 0.38, 0.38, 0.36]",5,7.92,False,False
