trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[4],interrupted,2,"[""9"", ""8"", ""9"", ""1"", ""9"", ""4"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.39, 0.39, 0.4, 0.39, 0.38, 0.35, 0.4]",7,11.1,False,False
2,True,0,2,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[5],interrupted,2,"[""9"", ""0"", ""5"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.32, 0.3, 0.27, 0.28, 0.27]",5,7.44,False,False
3,True,0,3,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""9"", ""6"", ""9"", ""9"", ""8"", ""9"", ""5"", ""8"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.28, 0.25, 0.26, 0.28, 0.26, 0.27, 0.28, 0.28, 0.27]",9,13.23,False,False
4,True,0,4,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[4],interrupted,2,"[""6"", ""3"", ""0"", ""4"", ""0"", ""2"", ""0"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.27, 0.33, 0.32, 0.3, 0.32, 0.31, 0.3, 0.27]",8,12.02,False,False
5,True,0,5,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,1,"[""9"", ""7"", ""8"", ""8"", ""6"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.3, 0.28, 0.29, 0.26, 0.29, 0.27, 0.28]",7,10.37,False,False
6,True,0,6,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[3],interrupted,1,"[""7"", ""8"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.3, 0.28, 0.33, 0.32]",4,6.03,False,False
7,True,0,7,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,1,"[""9"", ""5"", ""9"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.31, 0.36, 0.36, 0.37, 0.38]",5,7.78,False,False
8,True,0,8,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""3"", ""3"", ""8"", ""6"", ""6"", ""7"", ""5"", ""7"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 4]","[0.33, 0.33, 0.38, 0.34, 0.33, 0.35, 0.31, 0.36, 0.32]",9,13.85,False,False
1,False,1,1,AROUND,"[""A"", ""R"", ""O"", ""U"", ""N"", ""D""]",[4],interrupted,1,"[""4"", ""5"", ""7"", ""7"", ""0"", ""7"", ""0"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 8]","[0.28, 0.27, 0.26, 0.27, 0.28, 0.26, 0.26, 0.26, 0.28]",9,13.22,False,False
2,False,1,2,QUESTION,"[""Q"", ""U"", ""E"", ""S"", ""T"", ""I"", ""O"", ""N""]",[6],interrupted,2,"[""8"", ""1"", ""6"", ""0"", ""0"", ""0"", ""9"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.32, 0.3, 0.38, 0.37, 0.3, 0.34, 0.35, 0.37]",8,12.33,False,False
