trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[5],interrupted,2,"[""8"", ""9"", ""8"", ""1"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.4, 0.36, 0.4, 0.33, 0.38]",5,7.87,False,False
2,True,0,2,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[5],interrupted,2,"[""6"", ""4"", ""6"", ""6"", ""3"", ""6"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.31, 0.34, 0.35, 0.4, 0.31, 0.36, 0.39]",7,10.86,False,False
3,True,0,3,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""7"", ""6"", ""6"", ""5"", ""1"", ""3"", ""3"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.4, 0.4, 0.4, 0.4, 0.36, 0.4, 0.4, 0.36]",8,12.72,False,False
4,True,0,4,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[2],interrupted,1,"[""4"", ""9"", ""3"", ""3"", ""5"", ""9"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.3, 0.4, 0.32, 0.33, 0.36, 0.36, 0.33, 0.29]",8,12.29,False,False
5,True,0,5,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,2,"[""9"", ""3"", ""1"", ""7"", ""1"", ""3"", ""1"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.33, 0.35, 0.4, 0.35, 0.38, 0.35, 0.4, 0.36]",8,12.52,False,False
6,True,0,6,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""0"", ""9"", ""5"", ""5"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.28, 0.29, 0.3, 0.28, 0.27]",5,7.42,False,False
7,True,0,7,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""8"", ""4"", ""4"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.32, 0.33, 0.27, 0.33, 0.3]",5,7.55,False,False
8,True,0,8,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[3],interrupted,1,"[""2"", ""3"", ""6"", ""3"", ""5"", ""5"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.3, 0.34, 0.3, 0.4, 0.37, 0.31, 0.31, 0.35]",8,12.28,False,False
1,False,1,1,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[2],interrupted,2,"[""9"", ""7"", ""1"", ""7"", ""8"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.38, 0.37, 0.36, 0.4, 0.35, 0.38]",6,9.44,False,False
2,False,1,2,DURING,"[""D"", ""U"", ""R"", ""I"", ""N"", ""G""]",[4],interrupted,2,"[""6"", ""4"", ""2"", ""4"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.29, 0.4, 0.34, 0.37, 0.36]",5,7.76,False,False
3,False,1,3,AGAINST,"[""A"", ""G"", ""A"", ""I"", ""N"", ""S"", ""T""]",[3],interrupted,1,"[""8"", ""2"", ""2"", ""8"", ""4"", ""5"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.38, 0.36, 0.3, 0.33, 0.36, 0.37, 0.34, 0.36]",8,12.4,False,False
4,False,1,4,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[2],interrupted,2,"[""8"", ""0"", ""8"", ""7"", ""5"", ""5"", ""1"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.27, 0.29, 0.29, 0.28, 0.28, 0.3, 0.26, 0.27]",8,11.84,False,False
5,False,1,5,ALREADY,"[""A"", ""L"", ""R"", ""E"", ""A"", ""D"", ""Y""]",[],sequential,1,"[""3"", ""0"", ""9"", ""9"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.27, 0.28, 0.25, 0.28, 0.26]",5,7.34,False,False
6,False,1,6,REMEMBER,"[""R"", ""E"", ""M"", ""E"", ""M"", ""B"", ""E"", ""R""]",[5],interrupted,1,"[""4"", ""1"", ""4"", ""4"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.35, 0.38, 0.31, 0.36, 0.37, 0.34]",6,9.31,False,False
7,False,1,7,WITHOUT,"[""W"", ""I"", ""T"", ""H"", ""O"", ""U"", ""T""]",[],sequential,1,"[""6"", ""2"", ""3"", ""3"", ""1"", ""5"", ""5"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.32, 0.34, 0.37, 0.35, 0.32, 0.33, 0.4, 0.36]",8,12.39,False,False
8,False,1,8,ALWAYS,"[""A"", ""L"", ""W"", ""A"", ""Y"", ""S""]",[],sequential,1,"[""3"", ""5"", ""5"", ""8"", ""2"", ""2"", ""1"", ""5"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.28, 0.29, 0.3, 0.29, 0.26, 0.28, 0.28, 0.27, 0.27]",9,13.32,True,False
9,False,2,1,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[2],interrupted,2,"[""6"", ""8"", ""2"", ""8"", ""8"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.29, 0.28, 0.31, 0.33, 0.31, 0.26]",6,8.98,False,False
10,False,2,2,CHILDREN,"[""C"", ""H"", ""I"", ""L"", ""D"", ""R"", ""E"", ""N""]",[],sequential,2,"[""5"", ""3"", ""3"", ""3"", ""7"", ""3"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.32, 0.33, 0.34, 0.29, 0.34, 0.32, 0.32, 0.31]",8,12.17,False,False
11,False,2,3,EDUCATION,"[""E"", ""D"", ""U"", ""C"", ""A"", ""T"", ""I"", ""O"", ""N""]",[],sequential,2,"[""3"", ""4"", ""8"", ""3"", ""5"", ""3"", ""4"", ""3"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.28, 0.27, 0.29, 0.29, 0.32, 0.3, 0.28, 0.3, 0.25]",9,13.38,False,False
12,False,2,4,AROUND,"[""A"", ""R"", ""O"", ""U"", ""N"", ""D""]",[],sequential,2,"[""7"", ""2"", ""7"", ""9"", ""7"", ""3"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.26, 0.25]",7,10.16,False,False
13,False,2,5,FAMILY,"[""F"", ""A"", ""M"", ""I"", ""L"", ""Y""]",[],sequential,1,"[""0"", ""1"", ""1"", ""6"", ""6"", ""1"", ""9"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.4, 0.4, 0.4, 0.35, 0.39, 0.37, 0.38, 0.38]",8,12.67,False,False
14,False,2,6,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[4],interrupted,2,"[""8"", ""1"", ""8"", ""2"", ""7"", ""8"", ""0"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.4, 0.4, 0.4, 0.38, 0.33, 0.32, 0.39, 0.4]",8,12.62,False,False
15,False,2,7,BEFORE,"[""B"", ""E"", ""F"", ""O"", ""R"", ""E""]",[3],interrupted,1,"[""4"", ""1"", ""5"", ""5"", ""8"", ""8"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.4, 0.33, 0.35, 0.4, 0.4, 0.4, 0.37]",7,11.05,False,False
16,False,2,8,SECOND,"[""S"", ""E"", ""C"", ""O"", ""N"", ""D""]",[],sequential,2,"[""9"", ""3"", ""9"", ""0"", ""1"", ""9"", ""9"", ""9"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.35, 0.34, 0.3, 0.32, 0.37, 0.33, 0.31, 0.33, 0.35]",9,13.8,True,False
17,False,3,1,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[2],interrupted,2,"[""2"", ""8"", ""9"", ""8"", ""5"", ""2"", ""4"", ""6"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 8]","[0.3, 0.26, 0.27, 0.29, 0.3, 0.26, 0.3, 0.28, 0.28]",9,13.34,False,False
18,False,3,2,QUESTION,"[""Q"", ""U"", ""E"", ""S"", ""T"", ""I"", ""O"", ""N""]",[4],interrupted,2,"[""1"", ""9"", ""1"", ""8"", ""1"", ""7"", ""7"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.3, 0.27, 0.27, 0.29, 0.27, 0.3, 0.28, 0.33]",8,11.91,False,False
19,False,3,3,THOUGHT,"[""T"", ""H"", ""O"", ""U"", ""G"", ""H"", ""T""]",[5],interrupted,1,"[""6"", ""9"", ""9"", ""8"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.32, 0.32, 0.3, 0.35, 0.35]",5,7.64,False,False
20,False,3,4,TOGETHER,"[""T"", ""O"", ""G"", ""E"", ""T"", ""H"", ""E"", ""R""]",[3],interrupted,1,"[""8"", ""2"", ""9"", ""9"", ""6"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.4, 0.37, 0.38, 0.37, 0.4, 0.4]",6,9.52,False,True
21,False,3,5,THINGS,"[""T"", ""H"", ""I"", ""N"", ""G"", ""S""]",[5],interrupted,2,"[""9"", ""1"", ""9"", ""9"", ""3"", ""2"", ""1"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.26, 0.27, 0.33, 0.27, 0.25, 0.26, 0.27, 0.27, 0.29]",9,13.27,False,False
22,False,3,6,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[3],interrupted,1,"[""9"", ""9"", ""7"", ""9""]","[1.2, 1.2, 1.2, 1.2]",[1],"[0.29, 0.36, 0.34, 0.29]",4,6.08,False,False
23,False,3,7,COMPANIES,"[""C"", ""O"", ""M"", ""P"", ""A"", ""N"", ""I"", ""E"", ""S""]",[4],interrupted,1,"[""9"", ""6"", ""2"", ""2"", ""5"", ""2"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.31, 0.35, 0.36, 0.34, 0.35, 0.39, 0.36, 0.4]",8,12.46,False,False
24,False,3,8,SOMETIMES,"[""S"", ""O"", ""M"", ""E"", ""T"", ""I"", ""M"", ""E"", ""S""]",[4],interrupted,2,"[""1"", ""9"", ""1"", ""4""]","[1.2, 1.2, 1.2, 1.2]",[2],"[0.35, 0.36, 0.32, 0.38]",4,6.21,True,False
25,False,4,1,PRESIDENT,"[""P"", ""R"", ""E"", ""S"", ""I"", ""D"", ""E"", ""N"", ""T""]",[],sequential,2,"[""9"", ""3"", ""9"", ""5"", ""8"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.26, 0.27, 0.27, 0.27, 0.28, 0.27]",6,8.82,False,False
26,False,4,2,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[6],interrupted,2,"[""8"", ""8"", ""5"", ""8"", ""8"", ""9"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.31, 0.35, 0.31, 0.31, 0.28, 0.29, 0.31]",7,10.56,False,False
27,False,4,3,COMPANY,"[""C"", ""O"", ""M"", ""P"", ""A"", ""N"", ""Y""]",[],sequential,2,"[""8"", ""2"", ""8"", ""4"", ""0"", ""2"", ""0"", ""1"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.35, 0.34, 0.34, 0.34, 0.3, 0.32, 0.36, 0.34, 0.28]",9,13.77,False,False
28,False,4,4,BEAUTIFUL,"[""B"", ""E"", ""A"", ""U"", ""T"", ""I"", ""F"", ""U"", ""L""]",[],sequential,2,"[""9"", ""7"", ""9"", ""1""]","[1.2, 1.2, 1.2, 1.2]",[2],"[0.33, 0.38, 0.3, 0.32]",4,6.13,False,False
29,False,4,5,RESEARCH,"[""R"", ""E"", ""S"", ""E"", ""A"", ""R"", ""C"", ""H""]",[2],interrupted,2,"[""2"", ""7"", ""2"", ""9"", ""5"", ""4"", ""2"", ""4"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.3, 0.29, 0.31, 0.28, 0.36, 0.3, 0.29, 0.31, 0.29]",9,13.53,False,False
30,False,4,6,PROBABLY,"[""P"", ""R"", ""O"", ""B"", ""A"", ""B"", ""L"", ""Y""]",[],sequential,1,"[""3"", ""1"", ""1"", ""5"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.33, 0.4, 0.37, 0.4, 0.4]",5,7.9,False,False
31,False,4,7,PLEASE,"[""P"", ""L"", ""E"", ""A"", ""S"", ""E""]",[],sequential,1,"[""3"", ""4"", ""4"", ""0"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.37, 0.37, 0.32, 0.39, 0.35]",5,7.8,False,False
32,False,4,8,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""5"", ""5"", ""8"", ""8"", ""9"", ""3"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 3]","[0.4, 0.35, 0.4, 0.4, 0.39, 0.38, 0.4]",7,11.12,True,False
33,False,5,1,SOMEONE,"[""S"", ""O"", ""M"", ""E"", ""O"", ""N"", ""E""]",[],sequential,1,"[""7"", ""2"", ""2"", ""7"", ""8"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.29, 0.29, 0.3, 0.3, 0.27, 0.27]",6,8.92,False,False
34,False,5,2,AVAILABLE,"[""A"", ""V"", ""A"", ""I"", ""L"", ""A"", ""B"", ""L"", ""E""]",[],sequential,2,"[""6"", ""7"", ""0"", ""7"", ""5"", ""0"", ""4"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 7]","[0.35, 0.4, 0.38, 0.38, 0.33, 0.37, 0.35, 0.32]",8,12.48,False,False
35,False,5,3,ANOTHER,"[""A"", ""N"", ""O"", ""T"", ""H"", ""E"", ""R""]",[],sequential,1,"[""9"", ""9"", ""7"", ""6"", ""6"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 4]","[0.28, 0.3, 0.32, 0.32, 0.31, 0.28]",6,9.01,False,False
36,False,5,4,IMPORTANT,"[""I"", ""M"", ""P"", ""O"", ""R"", ""T"", ""A"", ""N"", ""T""]",[],sequential,1,"[""8"", ""1"", ""1"", ""7"", ""0"", ""3"", ""3"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.27, 0.26, 0.26, 0.26, 0.25, 0.26, 0.25, 0.29]",8,11.7,False,False
37,False,5,5,POLITICAL,"[""P"", ""O"", ""L"", ""I"", ""T"", ""I"", ""C"", ""A"", ""L""]",[],sequential,1,"[""5"", ""3"", ""3"", ""2"", ""1"", ""1"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.25, 0.26, 0.25, 0.25, 0.25, 0.26, 0.25]",7,10.17,False,False
38,False,5,6,AMERICAN,"[""A"", ""M"", ""E"", ""R"", ""I"", ""C"", ""A"", ""N""]",[],sequential,1,"[""8"", ""8"", ""9"", ""6"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.39, 0.4, 0.4, 0.4, 0.4]",5,7.99,False,False
39,False,5,7,EVERYONE,"[""E"", ""V"", ""E"", ""R"", ""Y"", ""O"", ""N"", ""E""]",[4],interrupted,1,"[""1"", ""8"", ""8"", ""3"", ""1"", ""5"", ""5"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.27, 0.27, 0.26, 0.26, 0.27, 0.25, 0.26, 0.27]",8,11.71,False,False
40,False,5,8,HOWEVER,"[""H"", ""O"", ""W"", ""E"", ""V"", ""E"", ""R""]",[5],interrupted,2,"[""5"", ""8"", ""9"", ""8"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.27, 0.32, 0.32, 0.3, 0.27]",5,7.48,False,False
