trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,2,"[""6"", ""1"", ""3"", ""1"", ""2"", ""1"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.26, 0.28, 0.28, 0.28, 0.28, 0.26, 0.31]",7,10.35,False,False
2,True,0,2,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,2,"[""5"", ""0"", ""8"", ""0"", ""7"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.38, 0.37, 0.32, 0.37, 0.37, 0.33]",6,9.34,False,False
3,True,0,3,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[6],interrupted,1,"[""0"", ""0"", ""5"", ""0"", ""4"", ""4"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.26, 0.29, 0.26, 0.28, 0.27, 0.31, 0.33]",7,10.4,False,False
4,True,0,4,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[5],interrupted,2,"[""7"", ""3"", ""3"", ""2"", ""3"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.32, 0.35, 0.36, 0.4, 0.36, 0.37]",6,9.36,False,False
5,True,0,5,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[4],interrupted,1,"[""2"", ""9"", ""1"", ""1"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.37, 0.34, 0.38, 0.4, 0.37]",5,7.86,False,False
6,True,0,6,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,2,"[""1"", ""0"", ""4"", ""0"", ""8"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.34, 0.34, 0.4, 0.34, 0.36, 0.34]",6,9.32,False,False
7,True,0,7,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,1,"[""3"", ""7"", ""7"", ""0"", ""3"", ""0"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.4, 0.39, 0.32, 0.35, 0.38, 0.33, 0.34, 0.34]",8,12.45,False,False
8,True,0,8,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[2],interrupted,1,"[""1"", ""6"", ""3"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.39, 0.36, 0.36, 0.4, 0.38]",5,7.89,False,False
1,False,1,1,AVAILABLE,"[""A"", ""V"", ""A"", ""I"", ""L"", ""A"", ""B"", ""L"", ""E""]",[7],interrupted,1,"[""2"", ""6"", ""9"", ""9"", ""8"", ""8"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.4, 0.4, 0.37, 0.39, 0.38, 0.4, 0.38]",7,11.12,False,False
2,False,1,2,PLEASE,"[""P"", ""L"", ""E"", ""A"", ""S"", ""E""]",[],sequential,2,"[""7"", ""1"", ""7"", ""2"", ""2"", ""2"", ""5"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.31, 0.3, 0.29, 0.35, 0.3, 0.29, 0.31, 0.31]",8,12.06,False,False
3,False,1,3,ALWAYS,"[""A"", ""L"", ""W"", ""A"", ""Y"", ""S""]",[3],interrupted,2,"[""3"", ""2"", ""3"", ""5"", ""8"", ""2"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.35, 0.4, 0.4, 0.32, 0.36, 0.37, 0.39]",7,10.99,False,False
