trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
31,False,4,7,TOGETHER,"[""T"", ""O"", ""G"", ""E"", ""T"", ""H"", ""E"", ""R""]",[6],interrupted,1,"[""4"", ""0"", ""3"", ""3"", ""9"", ""9"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.26, 0.26, 0.27, 0.27, 0.27, 0.28, 0.27]",7,10.28,False,False
32,False,4,8,ALWAYS,"[""A"", ""L"", ""W"", ""A"", ""Y"", ""S""]",[],sequential,2,"[""9"", ""6"", ""5"", ""5"", ""5"", ""4"", ""5"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.31, 0.29, 0.37, 0.33, 0.36, 0.35, 0.35, 0.35]",8,12.31,True,False
33,False,5,1,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[6],interrupted,1,"[""5"", ""1"", ""1"", ""5""]","[1.2, 1.2, 1.2, 1.2]",[2],"[0.35, 0.33, 0.4, 0.32]",4,6.2,False,False
34,False,5,2,CHILDREN,"[""C"", ""H"", ""I"", ""L"", ""D"", ""R"", ""E"", ""N""]",[],sequential,2,"[""1"", ""6"", ""4"", ""6"", ""3"", ""2"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]",7,11.2,False,False
35,False,5,3,EVERYONE,"[""E"", ""V"", ""E"", ""R"", ""Y"", ""O"", ""N"", ""E""]",[],sequential,2,"[""3"", ""7"", ""8"", ""1"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.28, 0.25, 0.26, 0.25, 0.26]",5,7.3,False,False
36,False,5,4,AVAILABLE,"[""A"", ""V"", ""A"", ""I"", ""L"", ""A"", ""B"", ""L"", ""E""]",[7],interrupted,1,"[""0"", ""0"", ""5"", ""1"", ""5"", ""1"", ""1"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 6]","[0.34, 0.33, 0.37, 0.36, 0.36, 0.36, 0.36, 0.4]",8,12.48,False,False
37,False,5,5,POLITICAL,"[""P"", ""O"", ""L"", ""I"", ""T"", ""I"", ""C"", ""A"", ""L""]",[],sequential,1,"[""6"", ""6"", ""5"", ""8"", ""4"", ""4"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.38, 0.36, 0.39, 0.35, 0.4, 0.37, 0.38]",7,11.03,False,False
38,False,5,6,QUESTION,"[""Q"", ""U"", ""E"", ""S"", ""T"", ""I"", ""O"", ""N""]",[5],interrupted,1,"[""1"", ""7"", ""7"", ""5"", ""8"", ""7"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.32, 0.36, 0.29, 0.28, 0.31, 0.34, 0.36]",7,10.66,False,False
39,False,5,7,IMPORTANT,"[""I"", ""M"", ""P"", ""O"", ""R"", ""T"", ""A"", ""N"", ""T""]",[],sequential,1,"[""6"", ""5"", ""5"", ""2"", ""1"", ""1"", ""4"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.37, 0.36, 0.37, 0.39, 0.37, 0.35, 0.36, 0.38]",8,12.55,False,False
40,False,5,8,RESEARCH,"[""R"", ""E"", ""S"", ""E"", ""A"", ""R"", ""C"", ""H""]",[],sequential,2,"[""6"", ""6"", ""6"", ""0"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.34, 0.34, 0.34, 0.36, 0.3]",5,7.68,False,False
