GLOBAL_TRIAL_NUM,participant_id,trial_num,word,word_length,letters_typed,completed,accuracy,completion_rate,cycles_used,actual_duration_s,subjective_duration_s,so_ratio,time_per_letter,participant_cv
1,sim_9,1,SIMPLE,6,6,True,1.0,1.0,164,8.2,6.912,84.29268292682927,1.3666666666666665,0.2088156809341401
2,sim_9,2,TEMPLE,6,6,True,1.0,1.0,175,8.75,7.872000000000001,89.9657142857143,1.4583333333333333,0.2088156809341401
3,sim_9,3,UNDERSTAND,10,10,True,1.0,1.0,319,15.95,14.784,92.6896551724138,1.595,0.2088156809341401
4,sim_9,4,SIMPLE,6,6,True,1.0,1.0,188,9.4,8.64,91.91489361702128,1.5666666666666667,0.2088156809341401
5,sim_9,5,MIDDLE,6,6,True,1.0,1.0,184,9.2,7.104,77.21739130434784,1.5333333333333332,0.2088156809341401
6,sim_9,6,FOREVER,7,7,True,1.0,1.0,234,11.7,10.944,93.53846153846155,1.6714285714285713,0.2088156809341401
7,sim_9,7,DIAMETERS,9,9,True,1.0,1.0,292,14.6,14.208,97.31506849315069,1.6222222222222222,0.2088156809341401
8,sim_9,8,CHARACTER,9,9,True,1.0,1.0,307,15.35,15.168,98.814332247557,1.7055555555555555,0.2088156809341401
9,sim_9,9,WITHOUT,7,7,True,1.0,1.0,247,12.35,11.52,93.27935222672065,1.7642857142857142,0.2088156809341401
10,sim_9,10,FACTORY,7,7,True,1.0,1.0,212,10.6,9.792000000000002,92.37735849056605,1.5142857142857142,0.2088156809341401
11,sim_9,11,NOTEBOOK,8,8,True,1.0,1.0,289,14.45,14.4,99.65397923875433,1.80625,0.2088156809341401
12,sim_9,12,MIDDLE,6,6,True,1.0,1.0,206,10.3,9.6,93.20388349514562,1.7166666666666668,0.2088156809341401
13,sim_9,13,HOMEMADE,8,8,True,1.0,1.0,236,11.8,10.944,92.74576271186442,1.475,0.2088156809341401
14,sim_9,14,UNDERSTAND,10,10,True,1.0,1.0,279,13.95,12.48,89.46236559139786,1.395,0.2088156809341401
15,sim_9,15,WITHOUT,7,7,True,1.0,1.0,214,10.7,8.64,80.74766355140189,1.5285714285714285,0.2088156809341401
16,sim_9,16,ELEPHANT,8,8,True,1.0,1.0,250,12.5,11.136000000000001,89.08800000000001,1.5625,0.2088156809341401
17,sim_9,17,NOTEBOOK,8,8,True,1.0,1.0,280,14.0,13.824,98.74285714285715,1.75,0.2088156809341401
18,sim_9,18,NOTEWORTHY,10,10,True,1.0,1.0,317,15.85,14.592000000000002,92.06309148264987,1.585,0.2088156809341401
19,sim_9,19,CHARACTER,9,9,True,1.0,1.0,314,15.7,15.936000000000002,101.5031847133758,1.7444444444444445,0.2088156809341401
20,sim_9,20,CHARACTER,9,9,True,1.0,1.0,271,13.55,11.328,83.60147601476014,1.5055555555555555,0.2088156809341401
21,sim_9,21,ANYTHING,8,8,True,1.0,1.0,250,12.5,11.136000000000001,89.08800000000001,1.5625,0.2088156809341401
22,sim_9,22,NOTEBOOK,8,8,True,1.0,1.0,260,13.0,12.864,98.95384615384616,1.625,0.2088156809341401
23,sim_9,23,COMPUTER,8,8,True,1.0,1.0,287,14.35,13.44,93.65853658536585,1.79375,0.2088156809341401
24,sim_9,24,ELEPHANT,8,8,True,1.0,1.0,274,13.7,13.248,96.7007299270073,1.7125,0.2088156809341401
25,sim_9,25,WITHOUT,7,7,True,1.0,1.0,222,11.1,10.176000000000002,91.67567567567569,1.5857142857142856,0.2088156809341401
26,sim_9,26,CANDLE,6,6,True,1.0,1.0,188,9.4,7.872000000000001,83.74468085106383,1.5666666666666667,0.2088156809341401
27,sim_9,27,CHARACTER,9,9,True,1.0,1.0,315,15.75,15.744000000000002,99.96190476190478,1.75,0.2088156809341401
28,sim_9,28,FACTORY,7,7,True,1.0,1.0,229,11.45,10.944,95.58078602620088,1.6357142857142857,0.2088156809341401
29,sim_9,29,CANDLE,6,6,True,1.0,1.0,228,11.4,12.096000000000002,106.10526315789474,1.9000000000000001,0.2088156809341401
30,sim_9,30,CHARACTER,9,9,True,1.0,1.0,274,13.7,12.096000000000002,88.29197080291974,1.5222222222222221,0.2088156809341401
31,sim_9,31,ELEPHANT,8,8,True,1.0,1.0,254,12.7,11.52,90.70866141732283,1.5875,0.2088156809341401
32,sim_9,32,CANDLE,6,6,True,1.0,1.0,186,9.3,7.68,82.5806451612903,1.55,0.2088156809341401
33,sim_9,33,SIMPLE,6,6,True,1.0,1.0,184,9.2,8.448,91.82608695652175,1.5333333333333332,0.2088156809341401
34,sim_9,34,ANYTHING,8,8,True,1.0,1.0,271,13.55,12.672000000000002,93.52029520295204,1.69375,0.2088156809341401
35,sim_9,35,ELEPHANT,8,8,True,1.0,1.0,252,12.6,11.328,89.9047619047619,1.575,0.2088156809341401
36,sim_9,36,ANYTHING,8,8,True,1.0,1.0,234,11.7,10.56,90.25641025641026,1.4625,0.2088156809341401
37,sim_9,37,ELEPHANT,8,8,True,1.0,1.0,256,12.8,11.904,93.0,1.6,0.2088156809341401
38,sim_9,38,NOTEBOOK,8,8,True,1.0,1.0,264,13.2,13.056000000000001,98.90909090909092,1.65,0.2088156809341401
39,sim_9,39,CHARACTER,9,9,True,1.0,1.0,281,14.05,12.672000000000002,90.19217081850535,1.5611111111111111,0.2088156809341401
40,sim_9,40,ANYTHING,8,8,True,1.0,1.0,251,12.55,11.52,91.79282868525895,1.56875,0.2088156809341401
