trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,1,"[""7"", ""7"", ""1"", ""8"", ""8"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 4]","[0.29, 0.3, 0.28, 0.32, 0.29, 0.31]",6,8.99,False,False
2,True,0,2,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[],sequential,2,"[""8"", ""9"", ""2"", ""2"", ""2"", ""7"", ""8"", ""4"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 8]","[0.29, 0.34, 0.35, 0.35, 0.35, 0.31, 0.36, 0.32, 0.29]",9,13.76,False,False
3,True,0,3,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,2,"[""9"", ""8"", ""1"", ""8""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.34, 0.36, 0.33, 0.39]",4,6.22,False,False
4,True,0,4,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[4],interrupted,2,"[""1"", ""1"", ""1"", ""6"", ""5"", ""6"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.31, 0.31, 0.35, 0.33, 0.31, 0.32, 0.31]",7,10.64,False,False
5,True,0,5,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[7],interrupted,2,"[""1"", ""6"", ""5"", ""6"", ""3"", ""6"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.27, 0.26, 0.25, 0.25, 0.26, 0.26, 0.26]",7,10.21,False,False
6,True,0,6,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[4],interrupted,1,"[""5"", ""8"", ""2"", ""2""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.29, 0.37, 0.38, 0.34]",4,6.18,False,False
7,True,0,7,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[],sequential,1,"[""0"", ""7"", ""9"", ""9"", ""6"", ""6"", ""0"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.4, 0.33, 0.37, 0.32, 0.4, 0.38, 0.4, 0.39]",8,12.59,False,False
8,True,0,8,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[4],interrupted,1,"[""1"", ""6"", ""6"", ""1"", ""1"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.4, 0.4, 0.39, 0.36, 0.4, 0.4]",6,9.55,False,False
1,False,1,1,SOMEONE,"[""S"", ""O"", ""M"", ""E"", ""O"", ""N"", ""E""]",[],sequential,2,"[""7"", ""8"", ""5"", ""9"", ""7"", ""1"", ""7"", ""2"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[6, 8]","[0.3, 0.32, 0.37, 0.31, 0.33, 0.34, 0.36, 0.31, 0.31]",9,13.75,False,False
2,False,1,2,THINGS,"[""T"", ""H"", ""I"", ""N"", ""G"", ""S""]",[],sequential,2,"[""9"", ""3"", ""5"", ""9"", ""5"", ""5"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.34, 0.33, 0.31, 0.32, 0.36, 0.32, 0.34]",7,10.72,False,False
3,False,1,3,SOMETIMES,"[""S"", ""O"", ""M"", ""E"", ""T"", ""I"", ""M"", ""E"", ""S""]",[3],interrupted,1,"[""6"", ""7"", ""7"", ""8"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.32, 0.3, 0.32, 0.35, 0.29, 0.31]",6,9.09,False,False
4,False,1,4,BEFORE,"[""B"", ""E"", ""F"", ""O"", ""R"", ""E""]",[2],interrupted,1,"[""7"", ""0"", ""9"", ""6"", ""8"", ""8"", ""0"", ""0"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[5, 7]","[0.29, 0.4, 0.38, 0.33, 0.37, 0.35, 0.34, 0.31, 0.38]",9,13.95,False,False
5,False,1,5,IMPORTANT,"[""I"", ""M"", ""P"", ""O"", ""R"", ""T"", ""A"", ""N"", ""T""]",[],sequential,2,"[""6"", ""8"", ""6"", ""7"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.29, 0.27, 0.28, 0.3, 0.36]",5,7.5,False,False
6,False,1,6,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[3],interrupted,1,"[""8"", ""8"", ""4"", ""6"", ""7"", ""8"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 7]","[0.35, 0.33, 0.36, 0.32, 0.38, 0.37, 0.33, 0.38]",8,12.42,False,False
7,False,1,7,AMERICAN,"[""A"", ""M"", ""E"", ""R"", ""I"", ""C"", ""A"", ""N""]",[6],interrupted,1,"[""2"", ""1"", ""1"", ""0"", ""0"", ""8"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.31, 0.36, 0.3, 0.32, 0.34, 0.32, 0.33]",7,10.68,False,False
8,False,1,8,TOGETHER,"[""T"", ""O"", ""G"", ""E"", ""T"", ""H"", ""E"", ""R""]",[7],interrupted,1,"[""1"", ""1"", ""5"", ""4"", ""6"", ""6"", ""9"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.27, 0.31, 0.27, 0.3, 0.27, 0.31, 0.27, 0.29, 0.38]",9,13.47,True,False
9,False,2,1,SECOND,"[""S"", ""E"", ""C"", ""O"", ""N"", ""D""]",[4],interrupted,2,"[""2"", ""7"", ""2"", ""4"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.34, 0.27, 0.35, 0.28, 0.33]",5,7.57,False,False
